"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Texas,769.4285588063276,765.4817649746199,768.9902970391978,783.8115049265267,794.1732682196005,799.7160475891604,843.6927088956032,849.4069991093556,850.1675594,838.2914015856171,869.749711,858.4179216549126,873.0746867138461,866.3749811950967,866.4479735876874,838.2594831666354,846.2618362995895,851.0866398093207,821.4975620385587,774.2371578421728,807.6374868001113,826.7468693684576,824.5009002860277,873.0552601023617,871.6764092385048,867.4465103883083,840.2310933942243,856.3364619599239,888.6756948178461,893.8430835853392,826.2884539402808,873.1115390136755
California,439.3981185,426.1943494790308,438.99843756097505,423.32915980151796,438.1531031602096,426.68802892904057,428.10701695606747,431.04090239936477,441.15307797095915,444.6824969795992,460.9972375715903,464.0865402785925,462.04871522197925,456.72567018732127,472.88755674989983,465.7906738772978,471.40572073669904,475.84769039289574,456.6303372879831,431.9488076727851,421.92224581862234,410.6203074663414,417.06483030875347,419.8473872,414.5606143720091,419.8793067889926,416.0355384792317,418.2080252456547,418.19050292429444,421.60135947652344,373.7676946807711,393.35367576188156
Florida,215.1914696754095,215.01338229834795,218.27320570642493,225.86011718608165,230.9023968685933,236.2941553853646,243.6192860241536,246.74736561446738,259.08216807944996,262.01907594604097,271.2500639120349,268.3046382372533,273.88166484462243,281.3180022716643,289.32484734185675,295.42191175463773,294.8001659,294.25724406784127,271.9082420496412,260.3942119243244,279.19691716881266,268.4278327053101,261.9449990359466,260.5705274118738,266.8306986191577,270.66830928326453,276.98529334173674,277.53675276569254,282.9104240096961,274.7102013147278,253.6780812699371,269.96615908695867
Pennsylvania,303.25183939006087,301.5467467,306.07321763773524,311.19337583189787,310.8398228931234,315.06096081179425,324.30089595454086,325.30852918126357,321.61877764900606,319.3142765994894,330.23891076067497,314.7331342838129,319.89007612178006,324.01114282737706,329.09359318155236,329.1340303379467,324.93092833478147,322.8530328242135,318.0569397677884,298.5892972268547,306.0645823638155,296.5359001175336,286.18961687415305,299.8501802662102,297.9376079771471,283.62911597897374,270.76699569503046,275.1447224205538,280.9414513410198,277.2276804266518,251.81329280337255,267.72516444863004
Ohio,301.03097232999573,298.7111371756953,303.87779009089013,308.2944794752963,305.18480397886503,311.3636503087476,321.93844959766085,316.14213562074633,316.22915217575564,315.5115944363787,321.4899284,309.26458243516896,313.74239995781414,317.7367016668718,313.5761835890265,319.68744102441184,310.6791016,314.6672813669065,310.39906578903987,280.7295519237004,287.2396323824675,273.9598784452111,252.7550644594107,265.3500946481755,264.8686078263271,249.1941317047421,240.67489417359133,242.2977958423582,249.3547668620544,232.37210043874964,222.7918650411639,235.41535895962892
Louisiana,229.5500117942648,226.27592947945567,236.42882774188078,237.59025489692672,243.0976413612359,243.80209999380548,245.43440315448154,252.4437973341005,243.2093193704826,242.68365543557223,255.8131512701918,230.0414950936303,235.76139851916372,226.9586890599626,234.96290055175868,230.7493907,235.88858639181083,243.54561005895312,233.42766255029412,219.70082675776487,231.9294889984622,235.51620924151644,228.80312435267825,221.0094622355278,217.74203237135933,216.3716935196379,217.55097608338974,220.1371463717074,227.6770322082174,232.28735517767885,215.71613028769892,224.55377849478901
Illinois,253.8883962714412,250.87302019573534,246.78864193733793,261.6598169672921,264.66974065437074,269.9971456628113,284.11998918055826,286.9053435,272.74238689273085,281.7564212,287.87904926399494,278.7832598054105,284.6666417594703,284.90985233383725,289.6626656,294.54684934853145,288.9572470842178,292.8514603743961,293.9095853177205,276.15397720282044,280.4742440283178,277.2256760319537,266.2340936558734,280.46870316790745,282.2615053835325,269.3711202017452,251.18122807979762,248.75443247648712,255.55804626152351,243.06603038553527,209.6678530937831,223.38066102254325
Indiana,237.77902998671723,232.13662107620152,233.84081252569072,238.31987829895783,243.72355081820112,248.75170894186013,251.18161968789195,254.63188375300524,253.80624617772406,257.5659470823362,270.2951978817231,261.0590344940973,262.1150479612515,266.2402246642708,272.5271974298619,270.5483544451237,269.1778150379373,270.85595897316244,269.55924403208644,244.87610724034286,260.88190507282826,249.88471303651724,235.6360328468693,238.77454967568414,245.05074866072164,226.5680699472131,218.07341356732988,211.51259565437383,224.5329087551541,209.96610954059858,183.16739301910766,193.63091649724313
New York,236.3170080910304,227.22273731996643,227.04614370587038,219.63853787827574,218.65393675901169,224.32773469100906,226.47272481070902,229.4837931949926,230.28048784214783,232.32542590883634,239.40409075738467,235.9503797473198,232.59596910472754,241.7014681825895,245.76332321753554,242.26580823588216,225.86761738144855,232.55446691408787,219.33074669271448,203.52283303241117,211.07728512340455,203.5688769,196.9091109307243,198.25957454594717,204.31527091585127,202.11207142453284,196.67373404270137,192.5817949509098,200.79438716267722,197.14944014259402,175.52752616127881,185.74095934646783
Michigan,220.0286208987027,219.6095770538384,220.12806820381093,221.3435450725867,226.43245214716077,229.21201669153498,233.95447908044568,230.5961384274185,228.7392800879384,233.97271802940438,232.08242224044702,227.43494717610668,227.7150578050941,225.7739658550547,227.174675,227.89398154607744,215.62265883199595,217.4987140547451,209.79848561234462,196.52163732106362,206.1628070874742,200.65966648964377,192.53164843063277,200.38624035271553,200.04181566021208,200.50775505584463,191.38415955552028,189.21359200350145,195.9714035049116,190.63404476851352,168.1070774409794,178.95446502471898
