ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LUCF,All GHG,MtCO₂e,49553.48,47463.17,49843.57,49482.1,48341.29,47668.47,46993.49,47070.12,46430.94,45781.16,45247.67,45069.96,43259.02,43295.95,43050.98,42265.06,40790.65,39853.62,38018.3,37029.87,36091.22,36011.6,35281.42,35278.92,35739.15,34372.44,33982.29,33191.77,32924.03,32787.52,32880.8,32735.02
CHN,China,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12791.58,12119.66,11953.6,11752.8,11256.52,11028.2,10976.57,11102.92,11033.52,10551.52,10266.06,9776.66,8955.38,8388.05,8134.35,7533.82,6862.75,6099.63,5344.61,4681.69,4390.73,4185.16,3994.55,4061.45,3942.74,3945.97,3924.59,3527.2,3369.99,3141.65,3013.46,2866.1
USA,United States,Climate Watch,Total including LUCF,All GHG,MtCO₂e,5564.83,5268.61,5798.48,5915.33,5702.26,5756.06,5678.8,5788.13,5741.0,5598.49,5815.39,6031.04,5760.48,6177.47,6364.51,6259.1,6349.58,6330.3,6248.12,6183.84,6336.35,6375.06,6211.89,6211.39,6164.55,5904.89,5734.76,5665.64,5573.08,5462.21,5379.11,5428.4
IND,India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3419.89,3176.03,3385.58,3407.73,3242.05,3118.38,3043.88,3023.53,2841.87,2777.35,2620.5,2582.36,2472.5,2318.77,2219.16,2072.27,1973.75,1901.83,1811.82,1767.53,1748.15,1500.33,1462.77,1384.94,1355.73,1295.25,1246.36,1180.19,1135.6,1103.18,1079.89,1025.63
EUU,European Union (27),Climate Watch,Total including LUCF,All GHG,MtCO₂e,3140.23,2964.35,3239.82,3386.07,3467.45,3450.97,3105.21,3049.64,3195.51,3275.66,3337.67,3707.35,3628.15,3896.15,3989.15,4023.86,4023.35,4048.0,4047.17,3957.8,3972.03,3965.15,3960.47,4034.79,4070.41,4147.6,4034.05,3984.79,3997.83,4072.81,4213.83,4284.61
RUS,Russia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1975.57,1836.79,1919.68,1867.49,1773.11,1740.17,1608.12,1630.84,1635.68,1679.17,1698.86,1526.56,1438.05,1571.39,1568.83,1558.22,1519.74,1494.87,1498.16,1421.37,1415.11,1801.45,1747.0,1718.38,1714.75,1864.2,1907.38,1982.81,2216.32,2405.59,2559.82,2631.99
BRA,Brazil,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1531.51,1470.25,1467.54,1445.49,1487.79,1465.59,1382.6,1396.9,1356.86,1335.01,1289.83,2128.86,2020.63,2048.91,2049.76,2010.41,2022.83,2007.27,1959.32,1945.81,1908.14,1815.4,1812.89,1801.52,1765.51,1733.77,1731.19,1704.41,1687.58,1676.19,1666.21,1645.19
IDN,Indonesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1484.66,1481.59,1919.32,1648.05,1393.73,1390.59,2020.62,1981.44,1611.99,1667.06,1645.82,1085.33,1439.9,1039.74,1056.4,1613.8,1187.78,1460.57,1111.78,1445.36,960.01,1130.23,1198.71,1306.43,2074.64,1103.84,1250.82,1214.15,1192.86,1176.56,1155.42,1133.9
JPN,Japan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1071.59,1064.38,1126.04,1167.48,1210.92,1227.46,1219.55,1256.7,1303.35,1287.52,1244.12,1137.38,1079.94,1137.51,1207.38,1172.07,1192.58,1186.04,1196.15,1189.39,1159.09,1203.08,1188.23,1158.24,1204.63,1217.39,1201.91,1186.59,1128.89,1135.56,1122.45,1107.01
IRN,Iran,Climate Watch,Total including LUCF,All GHG,MtCO₂e,952.23,908.39,898.34,880.6,885.89,856.89,819.34,821.08,796.15,773.64,773.83,718.63,714.48,692.89,685.73,653.47,612.52,573.01,537.39,501.64,488.24,497.93,470.16,434.94,433.02,415.28,399.98,390.18,358.5,350.97,329.31,302.04
CAN,Canada,Climate Watch,Total including LUCF,All GHG,MtCO₂e,733.27,721.31,778.44,788.43,769.95,753.91,857.06,857.16,849.47,838.14,838.85,988.74,970.67,1004.8,1027.81,995.43,1006.14,992.88,1002.98,980.53,959.31,733.73,716.44,717.28,700.87,689.15,667.37,651.79,633.93,638.08,623.85,627.95
SAU,Saudi Arabia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,730.64,708.47,717.3,712.36,724.59,730.92,722.94,689.52,646.01,629.86,593.65,562.22,517.5,504.68,465.09,445.14,422.65,402.55,385.36,364.48,346.69,342.87,326.57,322.26,306.16,299.98,284.5,285.62,286.61,289.45,271.95,238.89
DEU,Germany,Climate Watch,Total including LUCF,All GHG,MtCO₂e,713.29,684.63,740.33,791.24,819.85,837.12,834.28,829.6,870.45,854.06,840.84,881.42,850.93,907.43,904.59,933.02,924.24,946.19,962.83,961.75,977.96,926.2,933.75,971.87,994.72,1031.87,1001.85,1006.18,1015.77,1024.28,1069.68,1097.01
COD,Democratic Republic of the Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,687.22,687.81,687.62,682.46,689.24,686.11,686.17,684.82,685.72,682.37,687.19,451.57,447.46,447.66,442.04,450.1,448.33,448.6,444.71,437.07,422.53,425.63,429.39,437.22,435.3,428.66,438.3,438.23,436.88,435.57,435.46,436.84
MEX,Mexico,Climate Watch,Total including LUCF,All GHG,MtCO₂e,638.55,615.58,677.6,666.59,696.73,699.52,691.0,674.88,682.01,695.09,689.57,585.61,568.91,579.79,576.0,564.59,544.9,520.83,513.62,486.49,476.02,568.7,541.69,558.08,524.75,500.56,481.27,501.85,475.02,457.58,454.63,435.34
KOR,South Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,632.43,614.66,654.42,669.75,662.97,649.4,634.41,613.45,623.98,623.77,620.42,586.72,535.08,521.33,508.55,498.52,490.22,495.16,469.56,461.57,459.36,466.17,414.56,376.8,442.17,416.56,388.99,357.1,330.09,299.93,277.71,251.21
AUS,Australia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,576.4,580.76,630.85,643.14,646.2,600.4,592.53,595.4,578.38,661.95,659.37,619.31,638.51,620.15,649.65,648.12,601.65,638.42,587.61,663.85,667.46,660.32,641.3,601.19,575.46,563.96,561.09,554.49,547.61,544.9,544.83,543.79
ZAF,South Africa,Climate Watch,Total including LUCF,All GHG,MtCO₂e,517.35,509.29,563.55,556.84,552.19,538.95,538.57,563.22,551.02,540.99,520.9,536.8,513.62,535.26,502.31,480.94,478.23,478.06,449.58,426.27,411.01,378.09,374.35,394.82,386.38,370.66,359.39,346.62,339.88,329.44,332.84,336.73
TUR,Türkiye,Climate Watch,Total including LUCF,All GHG,MtCO₂e,513.66,475.93,462.83,474.88,474.47,432.16,374.19,366.06,340.71,349.85,334.29,328.18,317.97,314.46,317.3,287.68,258.46,246.0,239.99,228.49,218.2,266.14,242.2,242.32,241.1,232.11,214.4,199.9,204.73,198.44,190.96,188.5
PAK,Pakistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,488.02,466.59,434.26,429.45,433.38,406.9,380.55,366.18,352.91,341.09,336.91,329.42,335.8,323.57,322.16,304.95,285.59,276.63,259.24,249.96,243.6,241.13,238.82,225.82,222.04,215.38,208.26,197.46,190.85,181.31,171.72,168.24
VNM,Vietnam,Climate Watch,Total including LUCF,All GHG,MtCO₂e,457.05,464.89,451.19,394.39,335.32,326.93,295.57,274.67,260.81,245.94,244.74,281.2,262.65,239.58,230.47,216.02,211.98,202.26,181.16,175.64,159.4,64.91,57.19,53.22,41.66,33.94,26.04,18.14,13.28,7.88,5.28,1.28
THA,Thailand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,449.51,451.84,451.55,434.59,433.14,424.58,398.44,395.61,397.96,388.8,364.34,332.07,309.76,313.11,311.96,294.61,291.19,283.62,260.81,250.41,237.01,271.09,270.73,259.4,278.52,268.79,248.12,229.66,214.4,196.51,183.94,172.45
GBR,United Kingdom,Climate Watch,Total including LUCF,All GHG,MtCO₂e,427.9,408.53,450.43,466.79,476.81,490.47,511.46,526.94,567.36,583.9,564.04,606.91,593.78,649.85,670.76,686.12,689.74,695.84,701.12,692.32,710.56,700.4,698.37,722.24,724.53,744.78,723.31,731.06,733.58,751.96,769.76,760.98
