"Week","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
1,3.0427359707331,2.99288043507365,3.09259150639254,2.96648850871156,3.11898343275464
2,3.06800068255259,3.01721418013661,3.11878718496856,2.99032942974292,3.14567193536225
3,3.09326539437208,3.04154203404104,3.14498875470311,3.01416134102472,3.17236944771943
4,3.11853010619156,3.06586403652329,3.17119617585984,3.03798430332858,3.19907590905455
5,3.14379481801105,3.0901802264496,3.19740940957251,3.06179837609525,3.22579125992686
6,3.16905952983054,3.11449064184958,3.2236284178115,3.08560361748598,3.2525154421751
7,3.19432424165003,3.13879531994805,3.24985316335201,3.10940008443131,3.27924839886875
8,3.21958895346952,3.16309429719512,3.27608360974391,3.13318783267672,3.30599007426232
9,3.24485366528901,3.18738760929448,3.30231972128353,3.15696691682643,3.33274041375159
10,3.2701183771085,3.2116752912305,3.32856146298649,3.18073739038436,3.35949936383263
11,3.29538308892798,3.23595737729374,3.35480880056223,3.20449930579334,3.38626687206263
12,3.32064780074747,3.26023390110506,3.38106170038989,3.22825271447217,3.41304288702278
13,3.34591251256696,3.28450489563888,3.40732012949504,3.25199766685076,3.43982735828316
14,3.37117722438645,3.30877039324485,3.43358405552805,3.2757342124037,3.4666202363692
15,3.39644193620594,3.33303042566882,3.45985344674306,3.29946239968202,3.49342147272986
16,3.42170664802543,3.35728502407255,3.48612827197831,3.32318227634354,3.52023101970732
17,3.44697135984492,3.38153421905266,3.51240850063717,3.34689388918178,3.54704883050805
18,3.4722360716644,3.40577804065864,3.53869410267017,3.37059728415343,3.57387485917538
19,3.49750078348389,3.43001651840995,3.56498504855784,3.39429250640463,3.60070906056315
20,3.52276549530338,3.45424968131248,3.59128130929428,3.41797960029609,3.62755139031068
21,3.54803020712287,3.47847755787424,3.61758285637151,3.44165860942694,3.6544018048188
22,3.57329491894236,3.50270017612018,3.64388966176454,3.4653295766578,3.68126026122692
23,3.59855963076185,3.52691756360675,3.67020169791694,3.48899254413251,3.70812671739119
24,3.62382434258134,3.55112974743539,3.69651893772728,3.51264755329918,3.73500113186349
25,3.64908905440083,3.57533856020421,3.72283954859744,3.53629740687474,3.76188070192691
26,3.67435376622031,3.59954398419324,3.74916354824739,3.5599420777589,3.78876545468173
27,3.6996184780398,3.6237460031246,3.775490952955,3.5835815410567,3.81565541502291
28,3.72488318985929,3.64794460207036,3.80182177764822,3.60721577393789,3.84255060578069
29,3.75014790167878,3.67213976736718,3.82815603599038,3.63084475550618,3.86945104785138
30,3.77541261349827,3.69633148653696,3.85449374045958,3.65446846667799,3.89635676031855
31,3.80067732531776,3.72051974821314,3.88083490242237,3.6780868900696,3.92326776056591
32,3.82594203713725,3.74470454207206,3.90717953220243,3.70170000989244,3.95018406438205
33,3.85120674895673,3.76888585876923,3.93352763914424,3.72530781185528,3.97710568605819
34,3.87647146077622,3.79306368987974,3.95987923167271,3.74891028307331,4.00403263847914
35,3.90173617259571,3.81723802784276,3.98623431734867,3.77250741198326,4.03096493320816
36,3.9270008844152,3.84140886590983,4.01259290292057,3.79609918826434,4.05790258056606
37,3.95226559623469,3.86557619809653,4.03895499437285,3.81968560276399,4.08484558970539
38,3.97753030805418,3.88974001913709,4.06532059697127,3.84326664742905,4.1117939686793
39,4.00279501987367,3.91390032444229,4.09168971530504,3.86684231524088,4.13874772450645
40,4.02805973169315,3.93805711005978,4.11806235332653,3.89041260015488,4.16570686323143
41,4.05332444351264,3.96221037263708,4.14443851438821,3.91397749704387,4.19267138998142
42,4.07858915533213,3.98636010938673,4.17081820127753,3.93753700164475,4.21964130901952
43,4.10385386715162,4.01050631805378,4.19720141624946,3.96109111050895,4.24661662379429
44,4.12911857897111,4.03464899688517,4.22358816105704,3.98463982095537,4.27359733698685
