"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2024.538",63038.3173990361,60248.7051884478,65827.9296096244,58771.9736867854,67304.6611112868
"2024.558",62642.2778452394,59626.697569346,65657.8581211327,58030.3457996267,67254.2098908521
"2024.577",62993.7790868461,59768.0214215447,66219.5367521474,58060.4084626543,67927.1497110378
"2024.596",63463.9785589402,60040.924275096,66887.0328427844,58228.868795246,68699.0883226344
"2024.615",61743.494644626,58133.9117400459,65353.0775492062,56223.11397295,67263.8753163021
"2024.635",62242.9115707668,58455.9765488881,66029.8465926454,56451.2942420318,68034.5288995017
"2024.654",62889.8987282369,58933.5538273436,66846.2436291302,56839.1913477077,68940.6061087661
"2024.673",62136.4031935902,58017.610519794,66255.1958673865,55837.2533837287,68435.5530034518
"2024.692",63131.2676403849,58856.1955702777,67406.3397104922,56593.1091191064,69669.4261616635
"2024.712",62927.8143009898,58501.9777337967,67353.650868183,56159.0813788208,69696.5472231589
"2024.731",62156.521917574,57584.8901044904,66728.1537306575,55164.8144083925,69148.2294267554
"2024.750",62454.1172670703,57741.1982619004,67167.0362722401,55246.3296442118,69661.9048899287
"2024.769",62845.3871997945,57995.2950703412,67695.4793292478,55427.8113870023,70262.9630125867
"2024.788",61836.2362724947,56852.7453495493,66819.7271954399,54214.6446105904,69457.8279343989
"2024.808",61809.5121750037,56696.1013863059,66922.9229637016,53989.2252248275,69629.79912518
"2024.827",62298.4317612371,57058.3212653729,67538.5422571012,54284.3743303607,70312.4891921134
"2024.846",62238.3265850219,56874.5083439031,67602.1448261407,54035.0744843198,70441.578685724
"2024.865",61885.1000014064,56400.3635229006,67369.8364799122,53496.9194150121,70273.2805878006
"2024.885",62488.0108327184,56884.9650223091,68091.0566431278,53918.8917372542,71057.1299281827
"2024.904",62687.78282105,56968.8746675264,68406.6909745736,53941.4675629234,71434.0980791766
"2024.923",62263.0274703657,56430.5581319695,68095.4968087619,53343.0353674081,71183.0195733233
"2024.942",63338.526816469,57394.6655547785,69282.3880781596,54248.1754679724,72428.8781649656
"2024.962",62651.3401566501,56598.1364748697,68704.5438384304,53393.7640072791,71908.9163060211
"2024.981",61873.1112422148,55712.5055148523,68033.7169695774,52451.2778386946,71294.9446457351
"2025.000",61744.9030857288,55478.7359124955,68011.0702589621,52161.6273824017,71328.1787890559
"2025.019",62012.7612816622,55642.7817559651,68382.7408073592,52270.7182860546,71754.8042772698
"2025.038",62176.3198025101,55704.1928512913,68648.4467537289,52278.0558006482,72074.583804372
"2025.058",62567.9588333932,55995.2717582628,69140.6459085236,52515.9013936029,72620.0162731835
"2025.077",63269.2987473179,56597.5670753695,69941.0304192664,53065.7656682746,73472.8318263613
"2025.096",61038.2204751185,54268.8932103622,67807.5477398748,50685.4278172208,71391.0131330162
"2025.115",61504.3859769225,54638.8503290457,68369.9216247992,51004.455294308,72004.3166595369
"2025.135",61749.9459884631,54789.5316439603,68710.3603329659,51104.9108611374,72394.9811157887
"2025.154",61426.0460528993,54372.0290439849,68480.0630618137,50637.8580037279,72214.2341020707
"2025.173",62042.0034524962,54895.6096712282,69188.3972337643,51112.5373215925,72971.4695834
"2025.192",62389.8662130508,55152.2746114308,69627.4578146708,51320.9250519071,73458.8073741945
"2025.212",61769.1028569143,54441.4483681482,69096.7573456804,50562.4223960843,72975.7833177443
"2025.231",62407.6717309065,54991.0479423065,69824.2955195065,51064.9244678561,73750.4189939569
"2025.250",62741.2361390168,55236.6977430513,70245.7745349824,51264.0350866816,74218.4371913521
"2025.269",62722.9213613939,55131.486408013,70314.3563147749,51112.8234928136,74333.0192299743
"2025.288",62826.2149862914,55148.8669567758,70503.5630158071,51084.7244062883,74567.7055662945
"2025.308",62934.145875582,55171.8355956975,70696.4561554665,51062.716746678,74805.575004486
"2025.327",62923.2831747518,55076.9305828723,70769.6357666313,50923.3224212794,74923.2439282243
"2025.346",63472.0112659285,55542.5070499647,71401.5154818923,51344.881077497,75599.14145436
