"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2024.538",8913,8492.70360279924,9278.44873185687,8284.72942991008,9486.42290474603
"2024.558",8957,8352.15313752907,9153.37675544841,8140.0820561138,9365.44783686368
"2024.577",8828,8317.35085004364,9118.34541678592,8105.34039481279,9330.35587201677
"2024.596",8733,8424.75922010503,9225.54696016129,8212.80350859115,9437.50267167517
"2024.615",8846,8390.49935703477,9191.09909693499,8178.59340615637,9403.00504781338
"2024.635",8716,8582.09238731851,9382.46772315489,8370.24583260797,9594.31427786544
"2024.654",8724,8230.93092444833,9031.10051678767,8019.13882675195,9242.89261448405
"2024.673",8661,8171.08430978218,8971.02903137337,7959.35173177752,9182.76160937803
"2024.692",8681,8343.80838483069,9143.54171837333,8132.13175786274,9355.21834534128
"2024.712",8714,8169.83811024267,8969.34377493269,7958.22174357995,9180.96014159541
"2024.731",8685,8261.21201467078,9060.49001509944,8049.65590709807,9272.04612267215
"2024.750",8799,8606.57421420708,9405.6265653989,8395.07783237961,9617.12294722638
"2024.769",8966,8190.45159184843,8989.29549230458,7979.01038359789,9200.73670055511
"2024.788",8927,8138.08444219726,8936.80850533126,7926.6749529699,9148.21799455861
"2024.808",8947,8364.82941348644,9163.3409366827,8153.47618018243,9374.69416998671
"2024.827",9026,8767.04413399993,9565.33971874899,8555.7480561504,9776.63579659852
"2024.846",9068,8595.98594663037,9394.09320724921,8384.73971516711,9605.33943871247
"2024.865",8981,8485.29991215787,9283.21707013412,8274.10399782468,9494.41298446731
"2024.885",9063,8743.78638231256,9541.4763104627,8532.65061208132,9752.61208069395
"2024.904",8830,8437.48485245808,9234.97055114918,8226.40313849935,9446.05226510792
"2024.923",8811,8657.37604635761,9454.69511587324,8446.3384364775,9665.73272575335
"2024.942",8645,8283.51896708742,9080.63111147933,8072.53612697916,9291.61395158759
"2024.962",8950,8252.58030465404,9049.56574133158,8041.63100205193,9260.51504393369
"2024.981",8709,8625.55902310152,9422.40823268086,8414.64577763425,9633.32147814813
"2025.000",8843,8606.61178621308,9403.27687089149,8395.74727566323,9614.14138144134
"2025.019",8823,8517.49115057875,9313.94028012495,8306.68379989964,9524.74763080406
"2025.038",8544,8455.21070823376,9251.43399643042,8244.46313414904,9462.18157051514
"2025.058",8716,8424.05574369311,9220.22280431462,8213.32305214855,9430.95549585918
"2025.077",8923,8109.52356560536,8905.46667530167,7898.85015029008,9116.14009061695
"2025.096",8916,8410.70590683506,9206.52854488751,8200.06437843777,9417.1700732848
"2025.115",8934,8433.81256157484,9229.43549355671,8223.22389218147,9440.02416295009
"2025.135",8519,8588.83687093408,9384.2492597927,8378.30392893919,9594.7822017876
"2025.154",9014,8313.12820845047,9108.62728652707,8102.5723212056,9319.18317377195
"2025.173",8616,8646.59792212184,9442.08225830515,8436.04593682042,9652.63424360657
"2025.192",8798,8141.65166168518,8937.04285816395,7931.1243289744,9147.57019087472
"2025.212",8567,8197.99092204448,8993.16469576948,7987.52113766039,9203.63448015356
"2025.231",8682,8134.62512682289,8929.67179182465,7924.18898608559,9140.10793256195
"2025.250",8964,8470.24883419613,9265.07216637524,8259.87180608626,9475.44919448511
"2025.269",8593,8449.51369356831,9244.28581136342,8239.15022108704,9454.64928384468
"2025.288",8870,8329.25093643374,9123.91946758123,8118.91488168192,9334.25552233304
"2025.308",8719,8378.74234759549,9173.24244666755,8168.45087412109,9383.53392014195
"2025.327",8555,8421.23751665505,9215.52566604419,8211.00214287299,9425.76103982625
"2025.346",8689,8279.13139794271,9073.29236445134,8068.92968743567,9283.49407495838
"2025.365",8796,8162.4436677721,8956.38242859582,7952.30077155716,9166.52532481076
"2025.385",8486,8434.16665051828,9227.9095416121,8224.07559788921,9438.00059424117
"2025.404",8882,8071.88213807229,8865.556680336,7861.80917628576,9075.62964212253
"2025.423",8829,8320.09061981057,9113.68648544871,8110.03848246893,9323.73862279035
"2025.442",8767,8217.27576399458,9010.66217941235,8007.27906477749,9220.65887862943
"2025.462",8814,8271.07453793635,9064.23982219467,8061.13636860165,9274.17799152937
"2025.481",9059,8347.31312677513,9140.25947190774,8137.43290712652,9350.13969155635
"2025.500",8893,8358.84290423029,9151.73074882091,8148.97816873982,9361.59548431137
"2025.519",8918,8311.48145555221,9104.14827252134,8101.67522253929,9313.95450553426
"2025.538",8768,8552.05406095544,9344.49994495302,8342.30630536774,9554.24770054073
"2025.558",8843,8356.18918190168,9148.45108668913,8146.49012266936,9358.15014592145
"2025.577",9024,8424.71507263477,9216.75639595285,8215.07439779067,9426.39707079695
"2025.596",8754,8316.10398956384,9108.01091079603,8106.498888803,9317.61601155686
"2025.615",8677,8476.09533634579,9267.83922618249,8266.53338738873,9477.40117513955
"2025.635",8810,8147.90690627253,8939.48513197402,7938.38880596337,9149.00323228318
"2025.654",8667,8321.76357662326,9113.12735109185,8112.30223812673,9322.58868958839
"2025.673",8766,8247.12299338606,9038.29826296061,8037.71154912109,9247.70970722558
"2025.692",8874,8170.2717343328,8961.22951836968,7960.91785501242,9170.58339769006
"2025.712",8715,8311.85114189206,9102.62327986343,8102.54640011705,9311.92802163845
"2025.731",8868,8361.40842261509,9151.98129473681,8152.15642332454,9361.23329402736
"2025.750",8743,8293.62218073519,9083.99979453718,8084.42186320001,9293.20011207236
"2025.769",8662,8273.51768045252,9063.68698411347,8064.37249928115,9272.83216528484
"2025.788",8715,8258.27688880135,9048.25775339469,8049.18158443834,9257.3530577577
"2025.808",8585,8380.06384571782,9169.82738628562,8171.02606354971,9378.86516845373
"2025.827",8604,8396.81160552615,9186.40312851956,8187.81935365971,9395.395380386
"2025.846",8882,8370.63647205223,9160.01932202198,8161.69945259881,9368.9563414754
"2025.865",8606,8437.23473834077,9226.52119098983,8228.3232337169,9435.43269561369
"2025.885",8684,8475.86728429334,9264.99415620964,8266.99801813801,9473.86342236498
"2025.904",8687,8370.7378489918,9159.64689473688,8161.92623794131,9368.45850578738
"2025.923",8578,8405.52087712169,9194.21161612671,8196.76704837492,9402.96544487348
"2025.942",8959,8323.70235155771,9112.20993675189,8114.99700069634,9320.91528761326
"2025.962",8684,8597.67104464424,9386.17672172635,8388.96619882962,9594.88156754097
"2025.981",9026,8499.39914945516,9287.71684903326,8290.74405828041,9496.37194020801
"2026.000",8997,8619.06815540628,9407.34966277167,8410.42264373158,9615.99517444637
"2026.019",8582,8815.84867405103,9603.9493801428,8607.25101758274,9812.54703661109
"2026.038",8739,8389.16265460647,9177.3054171465,8180.55386646874,9385.91420528423
"2026.058",8981,8308.01834547504,9095.94461115506,8099.46686059472,9304.49609603538
"2026.077",9020,8416.26007672937,9204.0914595586,8207.73370582263,9412.61783046533
"2026.096",8951,8668.8357919009,9456.51333347798,8460.35014031395,9664.99898506493
"2026.115",8889,8385.07533996288,9172.53861698778,8176.64640077715,9380.96755617351
"2026.135",9128,8590.88118051022,9378.13047107914,8382.50888011809,9586.50277147126
"2026.154",8986,8689.96878493667,9477.12659428771,8481.62069816029,9685.4746810641
"2026.173",8894,8762.09683163116,9549.03879222323,8553.8058765702,9757.32974728418
"2026.192",8761,8592.36240826134,9379.10213018303,8384.12498254297,9587.3395559014
"2026.212",8765,8353.73217355524,9140.3142412482,8145.53647639058,9348.50993841285
"2026.231",8572,8558.37412763734,9344.75349975866,8350.23208074973,9552.89554664627
"2026.250",8652,8135.01421195597,8921.29944962281,7926.8970809534,9129.41658062538
"2026.269",8720,8584.13134168668,9370.20748112295,8376.06955564261,9578.26926716702
"2026.288",8945,8162.44854064865,8948.31245447313,7954.44292733089,9156.31806779089
"2026.308",8854,8253.03750101492,9038.81109268118,8045.05579452833,9246.79279916777
"2026.327",8597,8352.95336239646,9138.51483912749,8145.02779934186,9346.44040218209
"2026.346",8735,8409.78020699892,9195.25462278486,8201.87768758452,9403.15714219926
"2026.365",8646,8325.50837235071,9110.76882452095,8117.66248568447,9318.6147111872
"2026.385",8516,8276.58622608079,9061.65078590295,8068.79218898709,9269.44482299666
"2026.404",8716,8174.14465272184,8959.07409767169,7966.38637837457,9166.83237201896
"2026.423",8592,8138.52969325252,8923.26252696597,7930.82345875603,9130.96876146246
"2026.442",8701,8127.61143810805,8912.14843157611,7919.95703939335,9119.8028302908
"2026.462",8872,8329.61585757697,9113.94518487471,8122.01642477731,9321.54461767437
"2026.481",8749,8226.16239226069,9010.35877472885,8018.59814783186,9217.92301915769
"2026.500",8773,8386.86703956974,9170.85193442431,8179.35877253089,9378.36020146317
"2026.519",8913,8377.98269561277,9161.75480398508,8170.53074975366,9369.20674984419
"2026.538",8888,8468.1412906847,9251.74780535667,8260.7331748305,9459.15592121087
"2026.558",8719,8525.1046747565,9308.50539335359,8317.75102983298,9515.85903827711
"2026.577",8823,8321.05650933537,9104.28524902324,8113.74838447946,9311.59337387915
"2026.596",8867,8362.98492519266,9146.00433502991,8155.73220660137,9353.2570536212
"2026.615",8597,8350.89996745171,9133.71665297421,8143.7009067453,9340.91571368062
"2026.635",8773,8322.95558045633,9105.68240386483,8115.78030481476,9312.85767950641
"2026.654",8740,8427.92797658098,9210.44932489363,8220.80708691207,9417.57021456254
"2026.673",8899,8038.15178574453,8820.46130854312,7831.08696290245,9027.5261313852
"2026.692",8742,8325.21555847874,9107.36540488277,8118.19299942533,9314.38796393618
"2026.712",8656,8543.62330977615,9325.57464352905,8336.6532938476,9532.5446594576
"2026.731",8830,8369.65879260891,9151.43423366392,8162.73533266526,9358.35769360757
"2026.750",8772,8260.26354633731,9041.85269192378,8053.38939582563,9248.72684243546
"2026.769",8737,8318.11009979936,9099.48918760621,8111.29154822347,9306.3077391821
"2026.788",8696,8462.35968212413,9243.53065684311,8255.59621475521,9450.29412421203
