"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,60613,58881.4471708327,64264.459509696,57456.6498702501,65689.2568102785
"2",15,61705,62650,59539.5337836149,65210.2226370757,58038.5931090926,66711.1633115979
"3",15,62083,62622,59768.4679347407,65423.3062682429,58271.7226394279,66920.0515635557
"4",15,62251,67312,63275.4741660272,69243.7340570872,61695.7711955241,70823.4370275901
"5",15,64407,59493,57598.8350352456,62848.1649977727,56209.421322318,64237.5787107004
"6",1,61964,62811,59160.0075495218,64780.8019130005,57672.273148767,66268.5363137552
"7",1,62286,62447,59480.4983523875,65099.9145117581,57993.1287402249,66587.2841239207
"8",1,62279,61943,59473.1920068817,65091.0062365646,57986.2463998952,66577.951843551
"9",1,62055,61383,59250.2511710344,64866.497847927,57763.720470209,66353.0285487524
"10",1,61705,60837,58899.9177283537,64514.7062286473,57413.7729835601,66000.8509734409
"11",1,61299,60697,58495.0286775623,64108.4649063021,57009.2418574285,65594.2517264359
"12",1,61047,61229,58242.5678962184,63854.525440431,56757.1724602372,65339.9208764121
"13",1,61159,59430,58357.8130463665,63968.1680810955,56872.8417690241,65453.1393584379
"14",1,60417,61299,57618.8109989443,63228.5752859683,56133.9960830744,64713.3902018381
"15",1,60893,62097,58092.584289185,63700.9968975502,56608.1271410449,65185.4540456903
"16",1,61467,62860,58666.3181786816,64273.62025067,57182.1549717649,65757.7834575867
"17",1,62076,60893,59273.6329434052,64879.9816254246,57789.72208357,66363.8924852598
"18",1,61495,59857,58694.3438394722,64299.5625944148,57210.7320532686,65783.1743806184
"19",1,60767,61523,57965.4015340965,63569.9209504736,56481.9748516299,65053.3476329402
"20",1,61152,61257,58355.1811881841,63958.2959673528,56872.1262907287,65441.3508648082
"21",14,61222,63777,60140.96175176,65907.3480483186,58614.6914940946,67433.6183059839
"22",1,62356,62489,59561.7357368942,65163.8424211516,58078.947666044,66646.6304920018
"23",1,62328,63154,59534.59348204,65135.1136505222,58052.2253365499,66617.4817960123
"24",1,62615,63028,59817.0064647881,65416.1599434849,58335.0000602329,66898.1663480401
"25",1,62692,64456,59897.4920206989,65495.1130178275,58415.8912395129,66976.7137990134
"26",14,63364,61320,58629.7865738665,64047.849686847,57195.7118937793,65481.9243669341
"27",14,62300,61628,59024.6464467458,64576.3655257134,57555.1951694009,66045.8168030582
"28",1,61936,61411,59141.9778964232,64737.4111556417,57660.9561744838,66218.4328775811
"29",1,61670,62426,58876.7481304191,64470.6897231511,57396.1212287494,65951.3166248208
"30",1,61992,62573,59199.6371165545,64792.185073362,57719.379088032,66272.4431018845
"31",1,62209,60410,59417.7077178959,65008.7834280078,57937.8393695349,66488.6517763687
"32",1,61362,60858,58569.1381200098,64159.7100476336,57089.4031148188,65639.4450528247
"33",14,61159,60683,58948.2117898782,64592.9796371733,57454.1319912539,66087.0594357977
"34",1,60984,61425,58193.8013488333,63781.3758797907,56714.8597066164,65260.3175220075
"35",1,61229,61824,58438.3583294528,64024.4156517461,56959.8182681116,65502.9557130872
"36",1,61516,60648,58728.9515413386,64313.5565499575,57250.795884207,65791.712207089
"37",14,61138,61194,58057.3209371784,63612.7699881934,56586.8823958686,65083.2085295031
"38",1,61194,61180,58408.8492906808,63990.5606486493,56931.4595366117,65467.9504027185
"39",1,61215,62202,58430.9600636785,64011.0973216303,56953.9869487165,65488.0704365922
"40",1,61677,60410,58891.0014531835,64469.8885243132,57414.3592426849,65946.5307348117
"41",1,61103,61075,58319.2216859117,63897.0767834476,56842.8526223238,65373.4458470355
"42",1,61124,62251,58342.2589783433,63918.547033754,56866.3046857515,65394.5013263458
"43",1,61656,61929,58870.1529207938,64445.2853116497,57394.5045141324,65920.9337183111
"44",1,61761,60886,58978.0135877706,64551.6073428937,57502.7724333875,66026.8484972767
"45",1,61355,62608,58570.5254386155,64142.8105540689,57095.63066023,65617.7053324545
"46",15,61915,60844,58731.5309315849,64264.6462700554,57267.0037669064,65729.1734347338
"47",15,61411,66969,62123.2264583031,68025.3694455089,60561.0235751496,69587.5723286624
"48",15,63861,67221,63562.5819625616,69368.408768855,62025.8724325583,70905.1182988582
"49",15,65142,69328,66367.6356430576,72307.4455979785,64795.4629157829,73879.6183252533
"50",1,66696,66773,63906.1892822766,69491.213450498,62427.9226802999,70969.4800524745
