"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"1",15,63038,62592,60262.9120516855,65843.4520742195,58785.8323313781,67320.5317945269
"2",15,62586,64391,60454.040845666,66125.5438687322,58952.8846734665,67626.7000409317
"3",16,63271,61001,59768.3630825111,65311.5091118637,58301.1809543304,66778.6912400445
"4",1,62093,62288,59289.6152778338,64897.7337609701,57805.2359799392,66382.1130588647
"5",15,62113,57477,55544.757702123,60795.2994441128,54155.0232505459,62185.0338956899
"6",15,59991,60292,57688.1072199521,63349.5668975219,56189.609360729,64848.064756745
"7",1,60244,58819,57439.6243910849,63050.1846008585,55954.5988071886,64535.2101847548
"8",1,59707,58121,56903.1738578088,62512.8017812528,55418.3950351983,63997.5806038634
"9",1,59142,59536,56338.089357499,61946.9653843421,54853.5095498971,63431.545191944
"10",1,59502,59024,56698.7811760845,62306.1029244722,55214.6127611394,63790.2713394173
"11",1,59439,59301,56636.6287042261,62242.4236861943,55152.8643999418,63726.1879904786
"12",1,59530,59098,56728.1890589388,62332.3787406855,55244.849651957,63815.7181476673
"13",7,59477,60045,56648.4097289234,62248.3033025409,55166.2074330756,63730.5055983886
"14",1,59870,57353,57070.0506683665,62671.2166200834,55587.5115943791,64153.7556940708
"15",1,58856,60699,56056.0915962223,61657.7826097347,54573.4135467724,63140.4606591845
"16",1,59863,58869,57062.7379401349,62663.9542510286,55580.1855368786,64146.506654285
"17",1,59519,60090,56719.5698211812,62319.5240144807,55237.3514802728,63801.742355389
"18",1,59896,60463,57097.5662751093,62696.0334408069,55615.741526632,64177.8581892842
"19",1,60236,59342,57438.426461153,63035.4039969193,55956.9959939019,64516.8344641704
"20",1,59897,60556,57100.0271578955,62695.6814518132,55618.9469316051,64176.7616781035
"21",1,60274,61153,57477.348924602,63071.5579011194,55996.6512507193,64552.2555750021
"22",1,60714,61654,57917.9078826378,63510.7831459459,56437.5632213178,64991.127807266
"23",1,61142,61526,58346.5946406008,63938.1708333739,56866.5938224814,65418.1716514934
"24",1,61286,60413,58491.4074371978,64081.4469501061,57011.8133536696,65561.0410336343
"25",1,60861,59779,58067.2678494888,63655.9772016694,56588.0258382381,65135.2192129201
"26",1,60382,60458,57588.8224605153,63176.3298712573,56109.8985839464,64655.2537478263
"27",1,60457,61222,57664.1201921976,63250.0541620294,56185.6127802808,64728.5615739462
"28",1,60829,59765,58037.6896204003,63622.2342619062,56559.5499414783,65100.3739408282
"29",1,60359,59669,57567.4256436657,63150.7681267996,56089.6041568442,64628.589613621
"30",1,60095,59288,57304.8628789168,62886.7765596604,55827.4195732439,64364.2198653333
"31",1,59800,61124,57010.7177620301,62591.2787267982,55533.6324986482,64068.3639901801
"32",1,60474,59770,57684.7454872303,63264.3100796826,56207.92394767,64741.1316192429
"33",1,60189,59068,57400.5832333642,62978.7356569821,55924.1354723162,64455.1834180301
"34",14,59744,58244,56651.6257388415,62198.8396980759,55183.3668946606,63667.0985422568
"35",1,59167,59164,56379.6217603679,61955.7970776571,54903.6973077544,63431.7215302707
"36",1,59302,59866,56515.6261148468,62090.2245362329,55040.1190413669,63565.7316097128
"37",1,59673,61309,56886.9058764367,62460.0412382942,55411.7860514221,63935.1610633088
"38",1,60484,58639,57698.5186507129,63270.9682887025,56223.5803258425,64745.9066135729
"39",1,59680,61298,56894.9240264676,62466.9407359268,55420.1002908574,63941.7644715371
"40",1,60480,60114,57695.1086789383,63266.4113085394,56220.4739488496,64741.0460386281
"41",1,60329,60126,57545.0556245476,63114.8451123974,56070.8213988877,64589.0793380573
"42",1,60264,59530,57480.4432579985,63048.6793048661,56006.6202033297,64522.5023595349
"43",1,59970,58055,57186.7658748883,62753.6096104962,55713.3113427492,64227.0641426353
"44",1,59176,59828,56393.3141308409,61959.8213871798,54919.9486593845,63433.1868586362
"45",1,59596,57681,56813.7543450827,62379.9731525906,55340.46522142,63853.2622762533
"46",1,58826,58387,56044.5646390172,61609.2931908473,54571.6699622057,63082.1878676588
"47",1,58779,59988,55997.5537338829,61560.7873755967,54525.054735878,63033.2863736016
"48",15,59461,61951,59627.6466567576,65478.9813373706,58078.891920018,67027.7360741102
"49",15,60649,55015,53095.7258458681,58199.5712663037,51744.8195651734,59550.4775469984
"50",15,58142,58538,53296.4094005989,58660.5953389311,51876.5951472337,60080.4095922962
"51",16,58513,62243,59217.3101939149,65136.0249610515,57650.7210255692,66702.6141293972
"52",1,60317,61261,57531.3807842123,63104.4501243745,56056.2784340848,64579.5524745019
"53",15,60735,64007,60345.3026085016,66147.463894753,58809.5632830478,67683.2032202069
"54",15,62146,58406,56094.4339607465,61361.6373925447,54700.2894262701,62755.7819270211
"55",1,60293,60617,57504.3747160955,63082.4569850303,56027.9455238704,64558.8861772555
"56",1,60466,59043,57678.4560322777,63253.7239011079,56202.7717667626,64729.4081666229
"57",15,59832,62356,59678.8311858692,65510.5608070411,58135.265594911,67054.1263979993
"58",16,60990,63347,60794.1989397836,66617.3307383009,59252.909055017,68158.6206230675
"59",1,61974,61802,59186.4414736186,64761.6215720915,57710.7804395138,66237.2826061962
"60",1,61760,61774,58974.1132073475,64547.750129436,57498.8606273589,66023.0027094247
"61",1,61651,62300,58865.0112249487,64437.098110868,57390.1689147515,65911.9404210653
"62",1,61833,62470,59048.0291690917,64618.7051645536,57573.5602990407,66093.1740346046
"63",1,61997,63694,59212.4413614477,64781.702334565,57738.3470251874,66255.7966708253
"64",1,62616,62286,59832.3129286025,65400.9708111362,58358.3782207773,66874.9055189614
"65",1,62293,60861,59509.4340993698,65076.581857165,58035.8990974185,66550.1168591164
"66",10,61516,60195,57315.4295412021,62747.351941581,55877.6865293278,64185.0949534553
"67",1,60858,59478,58075.5434801522,63640.849041131,56602.4960782444,65113.8964430387
"68",1,60232,58421,57450.4712508259,63014.8585501441,55977.6668980983,64487.6629028717
"69",1,59471,59534,56689.3341679124,62253.2527352009,55216.6538810588,63725.9330220545
"70",1,59602,60477,56821.17236621,62383.5529985781,55348.8991461407,63855.8262186474
"71",1,60077,60448,57296.7991233556,62857.892716844,55824.8665619002,64329.8252782994
"72",1,60286,60544,57506.9123417735,63066.5122754541,56035.3751281881,64538.0494890395
"73",1,60426,59514,57647.6305251815,63205.7166800382,56176.4939846479,64676.8532205718
"74",16,60038,62514,60184.1980565172,66024.8341755034,58638.2750579878,67570.7571740329
"75",16,61176,59613,57236.1331458838,62682.8750284245,55794.4676540205,64124.5405202878
"76",1,60434,60687,57656.1856630509,63212.7409804135,56185.4543107264,64683.472332738
"77",1,60558,60308,57781.099935703,63336.1376914427,56310.7702576767,64806.467369469
"78",1,60450,58760,57673.269846584,63226.7975834428,56203.3398464128,64696.7275836139
"79",1,59717,59153,56940.9091000377,62493.834126189,55471.1386277544,63963.6045984722
"80",1,59543,58857,56767.6150129235,62319.1217907057,55298.219928308,63788.5168753212
"81",1,59329,60189,56554.1925387862,62104.3256502619,55085.1610416794,63573.3571473686
"82",1,59813,60343,57038.8186804869,62587.6619022088,55570.1285965747,64056.351986121
"83",16,60106,60213,56043.4265067309,61466.1015412739,54608.1311247432,62901.3969232616
"84",1,60186,60229,57413.4618216325,62959.3569327116,55945.5520554721,64427.2666988721
"85",1,60230,61717,57458.3765215455,63002.7482224905,55990.8699776908,64470.2547663453
"86",14,60906,61215,57873.9660164727,63392.6994124155,56413.2455220377,64853.4199068505
"87",1,61003,61861,58232.5733699098,63774.6522610714,56765.6736961465,65241.5519348347
"88",1,61335,59852,58564.8105046463,64105.6100956427,57098.2494411827,65572.1711591063
"89",1,60607,61680,57837.6367581387,63377.6361314107,56371.2874995127,64843.9853900368
"90",1,61071,61017,58301.7639257748,63840.6163218748,56835.7182536679,65306.6619939817
"91",1,60998,59987,58229.5985571758,63766.9362218406,56763.9538102617,65232.5809687547
"92",1,60511,59909,57743.3894531406,63279.545043175,56278.0575824818,64744.8769138339
"93",1,60248,61678,57480.7271828967,63015.4888830812,56015.7642525952,64480.4518133827
"94",1,60902,61249,58135.6350259383,63669.5464315562,56670.8971550137,65134.2843024808
"95",1,61022,59882,58256.0632343881,63788.5024556666,56791.7150271203,65252.8506629343
"96",1,60477,58924,57712.2196939007,63243.5679134235,56248.1602573543,64707.6273499699
"97",1,59799,61635,57034.2947544214,62564.9236038377,55570.4257236407,64028.7926346184
"98",1,60672,60489,57907.3795092043,63437.5899355499,56443.6212283206,64901.3482164337
"99",15,60579,66034,63138.6039647304,69176.4159617571,61540.4916638017,70774.5282626858
"100",1,62975,64341,60207.1549953024,65743.9803718968,58741.6458428499,67209.4895243493
"101",15,63365,60837,57909.9943773346,63200.3922663369,56509.7106408775,64600.676002794
"102",1,62007,62280,59239.7289145374,64776.1934094536,57774.3152816953,66241.6070422957
"103",15,62009,65834,62945.1348030035,68826.0719337663,61388.5447710037,70382.6619657661
"104",15,63577,64608,61723.8602063633,67345.4586745857,60235.9129719392,68833.4059090097
"105",15,63743,61142,57923.1895498555,63184.2392969916,56530.6737973219,64576.7550495253
"106",15,62359,58287,56802.9451360719,62081.6540468227,55405.7552852704,63478.8438976242
"107",15,60430,56322,54165.1065376745,59370.8374651331,52787.2327922526,60748.711210555
"108",1,58648,59363,55876.0176380884,61421.5242562045,54408.2106998039,62889.3311944889
"109",15,59165,54528,53810.1715102229,59100.3324298429,52409.9504957726,60500.5534442932
"110",15,57256,56935,54794.2546350485,60375.6219712193,53316.9559380489,61852.9206682189
"111",1,57428,57798,54654.2546087077,60202.3490629345,53185.76271158,61670.8409600622
"112",1,57885,57051,55112.2461107956,60658.8780126754,53644.1413278903,62126.9827955808
"113",1,57757,58485,54985.1887174107,60530.5502139109,53517.4201904977,61998.318740824
"114",1,58329,58413,55557.956706885,61101.9875514518,54090.5403822638,62569.403876073
