"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"1",1,63038,65704,60248.7051884478,65827.9296096244,58771.9736867854,67304.6611112868
"2",15,63967,65184,61161.6895789661,70339.7857976225,59676.4781499938,71904.3332792212
"3",15,64274,60636,57085.6143404298,67079.0745573779,55706.586495784,68563.9909055965
"4",15,62405,57358,54911.8140249417,65211.7324081648,53542.9829869789,66697.3985305665
"5",15,60067,55854,54095.0662175154,62877.7399577739,52689.7317535394,64365.2398314069
"6",15,58293,56798,55481.197855708,61271.5414482458,53992.556449831,62764.2299060789
"7",1,57896,58680,55084.5836016241,60707.9460840615,53596.169460841,62196.3602248446
"8",1,58552,59197,55741.2811783096,61363.2397244781,54253.2386370103,62851.2822657775
"9",1,59080,59216,56270.3612449706,61890.8465090211,54782.7086578925,63378.4990960992
"10",1,59328,59425,56518.7595459082,62137.6392953335,55031.5319128819,63624.8669283598
"11",1,59531,57888,56722.7826190476,62340.0579581977,55235.9796477692,63826.8609294761
"12",1,58932,58751,56124.1944348063,61740.7673346347,54637.5773879856,63227.3843814554
"13",1,59038,59604,56231.2104984461,61846.1896986683,54745.0152784305,63332.3849186839
"14",16,59465,60815,56659.2068569569,63764.8728457963,55173.4087269263,65286.2738837507
"15",16,60202,59709,56699.6668008391,63008.5615384433,55232.1572365228,64494.0957673405
"16",16,60043,57514,55177.0942572344,62848.723943063,53745.428491171,64333.8571905478
"17",1,58985,58934,56179.3083122807,61790.8161438088,54694.0319080569,63276.0925480326
"18",16,59130,61595,56325.6195797955,64754.620456976,54840.7680665894,66307.0574569142
"19",1,60384,60137,57579.1663679967,63189.4967640525,56094.2016121171,64674.4615199321
"20",1,60308,60685,57504.0532668701,63112.8092462796,56019.5052339046,64597.3572792451
"21",1,60517,59331,57714.1157696038,63321.3245671567,56229.9772509388,64805.4630858218
"22",1,60007,58841,57204.907512721,62810.9895209419,55721.0672371766,64294.8297964863
"23",1,59551,59139,56749.4863095689,62354.4308372846,55265.9471069279,63837.9700399257
"24",1,59472,59088,56670.4419048829,62273.8546199207,55187.3081485665,63756.9883762371
"25",1,59410,59907,56609.1485324258,62211.019586337,55126.422829161,63693.7452896019
"26",1,59745,59159,56945.3425258449,62545.7045750997,55463.0162319861,64028.0308689584
"27",1,59563,59935,56763.9940204404,62362.8808431579,55282.0581954596,63844.8166681387
"28",1,59823,59889,57025.3129130061,62622.6618074554,55543.784153049,64104.1905674125
"29",1,59921,60166,57124.0707500304,62719.8357017431,55642.9612343909,64200.9452173825
"30",1,60089,60237,57292.5431342726,62886.74378567,55811.847663916,64367.4392560266
"31",1,60197,59304,57401.2640202286,62993.8897841328,55920.9853974117,64474.1684069498
"32",1,59829,60600,57033.3461042722,62624.6569366025,55553.4155228192,64104.5875180555
"33",1,60237,60701,57442.6067788002,63032.5339711268,55963.0424247341,64512.0983251929
"34",1,60470,60886,57676.1594721096,63264.5815637833,56196.9934941223,64743.7475417707
"35",1,60660,59793,57866.9230124299,63453.8229941846,56388.1599126021,64932.5860940124
"36",14,60259,60702,57466.3450041282,63784.4444261228,55987.9328177862,65280.0325244765
"37",14,60480,62579,57688.3592944448,63873.997055246,56210.3467077546,65366.0620969289
"38",1,61422,61369,58630.7816998153,64214.7311098907,57152.7995691362,65692.7132405698
"39",1,61317,60379,58526.1304819104,64108.5084657455,57048.5642826325,65586.0746650234
"40",1,60827,60392,58036.6625747768,63617.7621659629,56559.4347455938,65094.9899951459
"41",1,60607,61548,57818.0047237149,63397.5954151942,56341.1762761594,64874.4238627497
"42",1,61024,59279,58235.4396406698,63813.7490979656,56758.9503153179,65290.2384233175
"43",1,60201,59578,57412.9065622364,62990.6647176609,55936.5631576754,64467.0081222219
"44",1,59955,59864,57167.3497205339,62743.6714875714,55691.3865050135,64219.6347030918
"45",1,59969,59327,57181.9777545994,62756.7312597007,55706.4296329395,64232.2793813606
"46",15,59733,58887,55737.457691776,62519.859416762,54293.6057191257,63995.0317159798
"47",15,59425,62483,56639.8658471202,67582.4468772996,55165.0441370034,69184.58569776
"48",15,60890,62208,58104.0598282656,63754.2507846279,56628.835923486,65231.2507328521
"49",15,61444,61960,58658.5526975981,66094.2774696299,57183.5908017251,67612.0243846344
"50",15,61590,59700,58130.0262553623,64376.0832034107,56672.3817029128,65850.6537018915
"51",15,60648,60949,57862.9381385547,64990.2101862094,56388.4661853144,66500.8638966437
"52",15,60773,59805,56672.5587677891,63558.2875780049,55231.9580212084,65032.3551433879
"53",15,60319,58513,56913.8534564731,63103.8750169976,55456.0502880082,64577.6129638373
"54",1,59532,58836,56748.3275383062,62315.7642351923,55274.7160587972,63789.3757147013
"55",15,59311,59449,56528.2232590858,62878.2868383025,55054.9801469021,64370.1315065687
"56",15,59481,59726,56699.5975675226,62558.6685239229,55226.7637438346,64038.4703451043
"57",15,59682,60154,56900.6586213141,64462.6424398254,55428.2303428061,65982.1926983415
"58",15,59964,62272,57183.5464230263,63833.0307253459,55711.5093540263,65330.5928459319
"59",1,61041,61485,58261.1228853817,63822.8119225447,56789.0327195058,65294.9020884206
"60",1,61186,60681,58406.0036314456,63966.2098349709,56934.3059479255,65437.907518491
"61",1,60893,60818,58114.2247417085,63672.9679963614,56642.9142773648,65144.2784607051
"62",1,60821,59631,58042.8540549617,63600.0555631238,56571.951666264,65070.9579518215
"63",1,60257,61092,57479.1676055495,63035.2906994353,56008.5506558688,64505.907649116
"64",1,60652,61812,57874.7222206399,63429.5297702432,56404.4534744973,64899.7985163857
"65",1,61156,61602,58379.298340913,63933.0037651159,56909.3213097427,65402.9807962861
"66",16,61295,59661,58314.3807294538,64071.5250449921,56849.9402234343,65541.1115360161
"67",6,60492,56856,54071.0823583229,63267.8485233443,52694.4750851473,64737.2596895904
"68",1,58863,57567,56086.7254635426,61641.0922327594,54616.573384921,63111.244311381
"69",1,58431,57662,55654.9267422183,61208.3076418507,54185.0356075132,62678.1987765557
"70",1,58272,60028,55496.0483371678,61048.0863561832,54026.5126414916,62517.6220518593
"71",1,59256,58603,56480.904563956,62032.4132999861,55011.5089610237,63501.8089029185
"72",1,59065,58016,56290.1337305359,61840.2477024362,54821.1072993687,63309.2741336034
"73",1,58710,59535,55935.9807041599,61484.924131548,54467.2640974101,62953.6407382978
"74",16,59226,61020,56452.5555144717,62999.757327519,54984.185944204,64491.8000110381
"75",14,60127,58760,55561.729248452,62900.808043833,54139.3601127467,64369.0501766029
"76",1,59525,59911,56751.9526321078,62298.1836872857,55283.9539469156,63766.1823724778
"77",1,59763,59667,56991.5563459555,62536.307091527,55523.9494750484,64003.9139624341
"78",1,59763,60393,56991.9688435783,62535.1888293504,55524.7671403158,64002.3905326129
"79",1,60087,59906,57316.1301044514,62857.9591774934,55849.2965535501,64324.7927283947
"80",14,60016,59046,57246.7903148028,63105.9008332502,55780.3575936197,64579.7792332239
"81",1,59598,61494,56829.1623703889,62368.2611360436,55363.0514881999,63834.3720182326
"82",14,60503,60190,57733.7751783025,64560.8718933763,56267.7587990523,66056.73929816
"83",1,60334,60639,57565.457999285,63102.7132737047,56099.8350597516,64568.3362132382
"84",14,60458,60910,57690.4745166851,63821.9041899231,56225.2470984538,65300.9358482008
"85",14,60637,62330,57870.4450099285,63624.2530447728,56405.6029927268,65094.1662505722
"86",1,61357,61741,58590.1841557527,64123.9051346118,57125.4966877466,65588.592602618
"87",1,61425,60229,58659.3961482777,64191.6482821036,57195.0974600674,65655.9469703139
"88",1,60782,61180,58016.4471676278,63547.6504134541,56552.4261033011,65011.6714777809
"89",1,60914,61178,58149.6531633438,63679.3882123236,56686.0207072482,65143.0206684191
"90",1,60975,60563,58211.4394447873,63739.6867315653,56748.2007755596,65202.9254007929
"91",1,60729,61146,57966.032163918,63492.8238649695,56503.1787649598,64955.6772639277
"92",1,60878,61270,58116.1503293401,63641.4862458445,56653.6822532758,65103.9543219087
"93",1,61004,61063,58242.2564746832,63766.1342610207,56780.1743423611,65228.2163933428
"94",1,60970,60416,58209.3541796602,63731.7186790055,56747.6725902099,65193.4002684558
"95",1,60666,62198,57905.8727232722,63426.832682805,56444.562893054,64888.1425130231
"96",5,61325,60593,57590.1126188263,64086.0961526387,56153.3435555134,65547.2088685046
"97",1,60911,60718,58152.3905988133,63671.274963116,56691.6301454671,65132.0354164621
"98",15,60778,62573,58020.1488125114,65480.6034851761,56559.7834517863,66985.6287726623
"99",15,61549,64952,58791.1773283694,66178.085002681,57330.9326384113,67680.791155452
"100",5,62973,62465,59083.1311068525,65732.8169120385,57649.7184348579,67193.6566315457
"101",1,62517,61644,59758.369757144,65276.1366541073,58297.9050795362,66736.6013317151
"102",15,61943,60540,57704.1289037635,64701.798855789,56280.5378640882,66161.9308833001
"103",15,61188,59949,55761.5874967353,63946.2500873123,54368.3695547125,65406.1540498421
"104",4,60578,53503,50910.1845746736,63335.3799265411,49624.9961431013,64795.0197447751
"105",1,57353,57489,54588.35728393,60118.6119994343,53124.587280414,61582.3820029503
"106",15,57733,62503,54969.3883828777,64666.0189705197,53506.265010244,66229.9651310596
"107",1,60134,59790,57367.5412626801,62901.1634369313,55902.8799466739,64365.8247529375
"108",15,60036,61748,57269.9165565428,65647.495165825,55805.4290503334,67178.315620685
"109",15,60831,61668,58065.41990569,63759.7047146327,56601.2851592115,65227.5840455726
"110",15,61170,62025,57704.3301941996,63936.0751764463,56258.109646372,65399.8741510226
"111",1,61488,60413,58723.5095603901,64252.6150532208,57260.0437377417,65716.0808758692
"112",1,60910,62289,58146.8980109737,63674.871496996,56683.7318124285,65138.0376955412
"113",16,61490,62156,58727.3766028028,66450.0454351034,57264.4446205702,67962.9659206675
"114",1,61698,64051,58935.513228188,64461.2580812936,57472.9369131436,65923.8343963379
"115",1,62646,60411,59883.7859618551,65409.8091462558,58421.1359769671,66872.4591311439
"116",1,61449,60867,58686.8246381935,64212.961847342,57224.1444727778,65675.6420127577
"117",1,61110,61011,58347.7597772177,63872.5106003624,56885.4465660111,65334.823811569
"118",1,61021,60505,58259.6826182512,63782.9549742452,56797.7607336611,65244.8768588353
"119",1,60754,61888,57993.4732980958,63515.3401689464,56531.9234229518,64976.8900440904
"120",1,61253,60663,58493.0748075963,64013.8687940087,57031.8089078095,65475.1346937955
"121",1,60932,61859,58173.135408442,63692.5476406841,56712.2352368921,65153.4478122341
"122",1,61323,61209,58564.8054633389,64083.0148015951,57104.2236785947,65543.5965863394
"123",1,61212,61271,58453.9410373647,63970.6708763066,56993.7508524343,65430.8610612371
"124",1,61190,60472,58432.7650591549,63948.0139076471,56972.9668687178,65407.8120980842
"125",1,60822,60165,58065.9586408848,63579.8850947527,56606.5104671619,65039.3332684756
"126",14,60517,61044,57761.4603396293,64415.1264990683,56302.3674861202,65900.5325874684
"127",1,60772,60311,58016.7105250824,63527.9043683584,56557.9856296933,64986.6292637475
"128",1,60559,60174,57805.0977465276,63314.8852205397,56346.7450945971,64773.2378724702
"129",1,60401,60317,57647.0602468519,63155.4212690456,56189.0851539111,64613.3963619864
"130",1,60392,59640,57638.7207574628,63145.6080471729,56181.1357379478,64603.1930666879
"131",1,60088,59104,57334.878172964,62841.2546739764,55877.4283510506,64298.7044958898
"132",1,59707,60120,56954.5423515884,62459.7490687879,55497.4021527474,63916.8892676289
"133",1,59995,61359,57243.8682100568,62747.6573858624,55787.1032117586,64204.4223841606
"134",1,60681,60275,57930.1331151012,63433.0591424121,56473.5965784092,64889.595679104
"135",1,60485,60589,57735.5712701162,63236.2939006463,56279.6179373234,64692.2472334391
"136",1,60552,59878,57802.6043704767,63302.6392176135,56346.8330829516,64758.4105051386
"137",1,60255,61452,57506.0674145229,63003.9998361997,56050.8526054027,64459.2146453199
"138",14,60826,62160,57881.5054265387,63575.3450779002,56431.4908022938,65030.2927431307
"139",1,61406,60092,58658.1517053805,64154.1756550371,57203.4420382908,65608.8853221269
"140",1,60744,61863,57997.3523083863,63492.4630953121,56542.8843408714,64946.931062827
"141",16,61237,60391,58490.1754467457,64052.0739618394,57035.9898643237,65507.8016930674
"142",1,60803,61529,58057.2675497949,63550.0765012364,56603.4088413302,65003.9352097012
"143",1,61115,62441,58370.2019419766,63861.7174735562,56916.6855810696,65315.2338344632
"144",1,61668,61444,58923.1661266047,64413.7807351797,57469.8882256128,65867.0586361716
"145",1,61476,61760,58731.7256128254,64220.8968432885,57278.8297509425,65673.7927051715
"146",1,61531,63661,58787.9597597704,64275.6990090342,57335.4429204159,65728.2158483887
"147",1,62411,62055,59667.6451955448,65155.3687138402,58215.1325199261,66607.8813894589
"148",1,62097,63484,59354.2097772084,64840.5174954969,57902.0718412152,66292.6554314901
"149",1,62581,63079,59838.5858269844,65324.8218803992,58386.4668595375,66776.9408478462
"150",15,62649,65981,59907.4497286584,67853.8951701433,58455.8995219848,69360.1043853976
"151",15,63980,58309,57119.2776074385,66723.2590090059,55764.8243129629,68175.3571055162
"152",15,61159,59198,55431.1588222973,63906.9639445533,54050.9775878872,65361.3675823643
"153",15,60262,60663,57259.3855183686,63009.6631031604,55811.5109143951,64464.0022252773
"154",15,60509,60856,57762.4847724812,64316.4547077472,56308.5160099095,65794.8053068731
"155",15,60706,70871,57960.9385729934,73398.9836315408,56507.3440000953,75080.429509639
"156",15,65275,68850,62514.1093069482,70499.826303925,61052.2814080507,72014.5693511179
"157",15,66497,59770,57961.339166537,69259.8247575062,56631.314993037,70722.3214535638
"158",15,62965,65055,60196.8712232521,66834.8818543497,58731.036751483,68325.244438883
"159",15,63734,67049,60965.7063473051,69067.0783598035,59499.8975069789,70589.3874776662
"160",16,64978,62871,61496.5549805814,67748.4913599533,60047.0076744931,69214.8215687042
"161",15,63699,64207,60929.4093291831,67715.519322152,59463.0978348164,69209.3231545986
"162",1,63709,63785,60940.2207922114,66478.6920398812,59474.276004,67944.6368280926
"163",16,63534,62369,59941.8090571506,66302.5679534942,58496.1152488268,67768.1289074528
"164",1,62826,62147,60058.7489889552,65594.7333638624,58593.4624362031,67060.0199166145
"165",1,62405,64072,59638.502115342,65173.1750119491,58173.5626899275,66638.1144373635
"166",1,63070,62844,60303.6370026844,65837.7245337901,58838.8525141592,67302.5090223153
"167",1,62833,62140,60067.5328203595,65600.1808043921,58603.1293569284,67064.5842678231
"168",1,62414,64752,59649.0857026215,65180.4302634177,58185.0272344816,66644.4887315576
"169",1,63383,62674,60617.3115779776,66148.9050495338,59153.1872271392,67613.0294003722
"170",1,62911,65259,60146.0433915447,65676.3437928482,58682.2612957281,67140.1258886648
"171",1,63844,64917,61079.0284859121,66609.5977908263,59615.1752156091,68073.4510611294
"172",1,64129,63249,61365.1428020046,66894.6291525246,59901.576172415,68358.1957821141
"173",16,63524,63251,60760.6724064152,68064.6803788984,59297.4258468869,69567.1240008873
"174",1,63250,62749,60487.3947510328,66014.2484197883,59024.5249502141,67477.118220607
"175",1,62902,63043,60140.1594634839,65665.6375694771,58677.6537521354,67128.1432808256
"176",1,62876,61007,60114.2780230888,65638.3179698535,58652.1529694943,67100.443023448
"177",1,61962,61297,59200.4874281601,64724.1718063495,57738.4564878825,66186.2027466271
"178",1,61669,62580,58908.2374002453,64430.6143706615,57446.552509902,65892.2992610049
"179",1,62104,60873,59343.4372239164,64864.6331824467,57882.0649285367,66326.0054778263
"180",1,61545,60528,58785.1868645156,64305.4060547067,57324.0731040984,65766.5198151238
"181",16,61133,61553,58374.4238498831,64704.9248444483,56913.6058045954,66184.2941646683
"182",1,61398,62006,58639.2034815976,64156.9227780478,57178.7514030845,65617.3748565609
"183",9,61750,62997,58991.7095704338,65708.3067421183,57531.3989662964,67195.768867481
"184",1,62307,62577,59549.6530175615,65065.1193156085,58089.797271704,66524.975061466
"185",1,62392,61486,59635.4222181942,65149.4763638078,58175.9402465078,66608.9583354942
"186",1,61947,60787,59191.4697233952,64704.3435036366,57732.3001755508,66163.513051481
"187",1,61432,60888,58676.9705180325,64188.8312853717,57218.0690985068,65647.7327048974
"188",1,61239,61236,58483.7682316448,63994.2866679228,57025.2221056894,65452.8327938782
"189",1,61303,61914,58549.3144570676,64058.4057980091,57091.1460604309,65516.5741946458
"190",16,61632,58575,56736.2318158591,64386.5876524665,55331.4599463592,65844.4090412267
"191",1,60298,62205,57544.2233109276,63053.4502184652,56086.0190319804,64511.6544974124
"192",1,61293,62029,58539.278196654,64048.2050138594,57081.1533468197,65506.3298636937
"193",1,61672,60893,58918.545489312,64426.2088691583,57460.7550511464,65883.9993073239
"194",1,61342,60940,58589.2737424479,64095.6972817097,57131.811470262,65553.1595538956
"195",1,61210,61053,58457.71713321,63962.7680473612,57000.6181729449,65419.8670076264
