Wall time,Step,Value
1719931582,39450,54.74509811
1719931796,78900,5.543809891
1719932055,118350,0.683134198
1719932261,157800,0.171807647
1719933359,197250,0.072371498
1719933563,236700,0.041986648
1719933768,276150,0.029749954
1719933988,315600,0.023880845
1719934188,355050,0.020739375
1719934393,394500,0.018924091
1719934606,433950,0.017786019
1719934818,473400,0.017052375
1719935019,512850,0.01653507
1719935212,552300,0.016168248
1719935427,591750,0.015876675
1719935646,631200,0.015613316
1719935860,670650,0.01537818
1719936058,710100,0.015208876
1719936295,749550,0.014992548
1719936501,789000,0.014804435
1719936828,828450,0.014635135
1719937035,867900,0.014512859
1719937240,907350,0.014352965
1719937861,946800,0.014183666
1719938070,986250,0.013939122
1719938300,1025700,0.013854468
1719938513,1065150,0.013703978
1719938710,1104600,0.013544085
1719938916,1144050,0.013384188
1719939125,1183500,0.013149047
1719939330,1222950,0.013092613
1719939536,1262400,0.012857476
1719939753,1301850,0.012801036
1719939955,1341300,0.012659954
1719940172,1380750,0.012518871
1719940394,1420200,0.012293139
1719940615,1459650,0.012255515
1719940821,1499100,0.012123833
1719941020,1538550,0.011907508
1719941258,1578000,0.011860479
1719941477,1617450,0.01174761
1719941695,1656900,0.011625336
1719941899,1696350,0.011437224
1719942103,1735800,0.011324356
1719942304,1775250,0.011296142
1719942521,1814700,0.011183275
1719942740,1854150,0.010995165
1719942944,1893600,0.010901105
1719943164,1933050,0.010797642
1719943382,1972500,0.010703588
1719943610,2011950,0.010684778
1719943823,2051400,0.010590723
1719944033,2090850,0.010421419
1719944240,2130300,0.010412013
1719944468,2169750,0.010252116
1719944701,2209200,0.010176873
1719944901,2248650,0.010158064
1719945105,2288100,0.010016979
1719945309,2327550,0.009941733
1719945508,2367000,0.009932327
1719945737,2406450,0.009800648
1719945947,2445900,0.009791244
1719947703,2485350,0.009084393
1719947907,2524800,0.008402393
1719948107,2564250,0.008298343
1719949947,2603700,0.007683983
1719950150,2643150,0.007298438
1719951650,2682600,0.006954094
1719951858,2722050,0.005489438
1719952065,2761500,0.004683997
1719952272,2800950,0.00062077
1719952484,2840400,0.000159895
1719952829,2879850,7.52E-05
1719953040,2919300,4.70E-05
1719953250,2958750,4.70E-05
1719953452,2998200,3.76E-05
1719953675,3037650,0
1719953886,3077100,0
1719954107,3116550,0
1719954322,3156000,0
1719954542,3195450,0
1719954763,3234900,0
1719955106,3274350,0
1719955324,3313800,0
1719955532,3353250,0
1719955743,3392700,0
1719955962,3432150,0
1719956161,3471600,0
1719956369,3511050,0
1719956596,3550500,0
1719956794,3589950,0
1719956996,3629400,0
1719957207,3668850,0
1719957417,3708300,0
1719957628,3747750,0
1719957839,3787200,0
1719958049,3826650,0
1719958260,3866100,0
1719958470,3905550,0
1719958681,3945000,0
