Wall time,Step,Value
1719931582,39450,-0.747906685
1719931796,78900,-0.062561586
1719932055,118350,-0.994777381
1719932261,157800,-0.995766997
1719933359,197250,-0.997262359
1719933563,236700,-0.062712751
1719933768,276150,-0.058520701
1719933988,315600,-0.059042104
1719934188,355050,-0.051180735
1719934393,394500,-0.044586003
1719934606,433950,-0.029826125
1719934818,473400,-0.020918705
1719935019,512850,-0.035065465
1719935212,552300,-0.042539742
1719935427,591750,-0.04862608
1719935646,631200,-0.037231788
1719935860,670650,-0.019732071
1719936058,710100,-0.008065984
1719936295,749550,5.89E-05
1719936501,789000,6.55E-05
1719936828,828450,6.95E-05
1719937035,867900,7.29E-05
1719937240,907350,6.67E-05
1719937861,946800,5.36E-05
1719938070,986250,-0.019732526
1719938300,1025700,-0.033934817
1719938513,1065150,-0.024804635
1719938710,1104600,-0.029369567
1719938916,1144050,-0.029876767
1719939125,1183500,-0.028355192
1719939330,1222950,-0.027847735
1719939536,1262400,-0.027340436
1719939753,1301850,-0.026326466
1719939955,1341300,-0.028862527
1719940172,1380750,-0.035455931
1719940394,1420200,-0.037992686
1719940615,1459650,-0.040021598
1719940821,1499100,-0.039514054
1719941020,1538550,-0.034949318
1719941258,1578000,-0.032920081
1719941477,1617450,-0.04306528
1719941695,1656900,-0.045600947
1719941899,1696350,-0.043571744
1719942103,1735800,-0.028337307
1719942304,1775250,-0.042280264
1719942521,1814700,-0.041018087
1719942740,1854150,-0.04439247
1719942944,1893600,-0.031558912
1719943164,1933050,-0.034423891
1719943382,1972500,-0.028340677
1719943610,2011950,-0.017947912
1719943823,2051400,-0.012878205
1719944033,2090850,-0.010342817
1719944240,2130300,-0.010164959
1719944468,2169750,-0.009760061
1719944701,2209200,-0.005273822
1719944901,2248650,-0.00400622
1719945105,2288100,-0.003499066
1719945309,2327550,-0.000964075
1719945508,2367000,-0.002485125
1719945737,2406450,-0.003499025
1719945947,2445900,-0.004006205
1719947703,2485350,-0.003245528
1719947907,2524800,6.37E-05
1719948107,2564250,7.46E-05
1719949947,2603700,6.96E-05
1719950150,2643150,6.37E-05
1719951650,2682600,5.72E-05
1719951858,2722050,5.26E-05
1719952065,2761500,4.94E-05
1719952272,2800950,-0.018964771
1719952484,2840400,-0.004260263
1719952829,2879850,6.30E-05
1719953040,2919300,6.83E-05
1719953250,2958750,6.94E-05
1719953452,2998200,7.00E-05
1719953675,3037650,7.09E-05
1719953886,3077100,7.14E-05
1719954107,3116550,7.17E-05
1719954322,3156000,7.67E-05
1719954542,3195450,7.56E-05
1719954763,3234900,7.28E-05
1719955106,3274350,6.52E-05
1719955324,3313800,-0.001979982
1719955532,3353250,-0.030627467
1719955743,3392700,-0.049667992
1719955962,3432150,-0.058771878
1719956161,3471600,-0.059009124
1719956369,3511050,-0.058810662
1719956596,3550500,-0.058787063
1719956794,3589950,-0.05878868
1719956996,3629400,-0.058839753
1719957207,3668850,-0.058837917
1719957417,3708300,-0.059009124
1719957628,3747750,-0.05878868
1719957839,3787200,-0.058837917
1719958049,3826650,-0.030627467
1719958260,3866100,-0.001979982
1719958470,3905550,-0.058837917
1719958681,3945000,-0.05878868
