Wall time,Step,Value
1720099465,39450,54.74509811
1720099795,78900,53.69982147
1720100083,118350,17.74644661
1720100371,157800,8.56211853
1720100641,197250,12.10491657
1720100915,236700,5.543809891
1720101182,276150,2.107614517
1720101448,315600,0.683134377
1720101727,355050,0.408929288
1720101999,394500,0.351981014
1720102268,433950,0.171807647
1720102675,473400,7.242684841
1720103188,512850,1.499209642
1720103708,552300,9.549329758
1720104217,591750,0.307650149
1720104739,631200,5.600357056
1720105250,670650,0.132025793
1720108039,710100,10.54449749
1720108324,749550,0.23291266
1720108614,789000,0.926024795
1720108956,828450,2.185930967
1720109245,867900,0.915340126
1720109510,907350,0.446506411
1720109774,946800,7.037919521
1720110040,986250,29.25172043
1720110310,1025700,0.421884358
1720110574,1065150,0.703341544
1720110839,1104600,0.44364801
1720111109,1144050,16.71473312
1720111373,1183500,0.015398696
1720111638,1222950,0.020339329
1720111903,1262400,0.394822121
1720112174,1301850,0.110914446
1720112437,1341300,0.072371483
1720112699,1380750,0.041996069
1720112969,1420200,11.4681263
1720113231,1459650,0.510918856
1720113496,1499100,1.06332314
1720113760,1538550,0.275178611
1720114028,1578000,0.165661618
1720114291,1617450,0.730761826
1720114556,1656900,0.101360127
1720114826,1696350,0.161443457
1720115090,1735800,0.077857882
1720115352,1775250,0.686323345
1720115616,1814700,0.255846918
1720115886,1854150,0.338594526
1720116147,1893600,0.502744555
1720116412,1933050,8.248667717
1720116681,1972500,7.756954193
1720116945,2011950,0.232755378
1720117210,2051400,0.023918476
1720117475,2090850,0.020777002
1720117743,2130300,0.373877943
1720118006,2169750,0.029749954
1720118271,2209200,0.013214884
1720118540,2248650,0.013167856
1720118803,2288100,0.370717138
1720119066,2327550,1.253700972
1720119332,2367000,0.074126594
1720119602,2406450,0.054413997
1720119864,2445900,7.855169773
1720120129,2485350,0.299444377
1720120399,2524800,20.98652267
1720120665,2564250,17.05644608
1720120930,2603700,0.018952314
1720121199,2643150,0.017786013
1720121464,2682600,0.01709
1720121731,2722050,0.016553875
1720121991,2761500,0.016196463
1720122260,2800950,0.015857866
1720122521,2840400,0.015613319
1720122782,2879850,0.015425208
1720123047,2919300,0.012801041
1720123308,2958750,5.681241512
1720123570,2998200,3.52334547
1720123833,3037650,0.5833565
1720124103,3077100,8.340520859
1720124364,3116550,0.460318804
1720124626,3156000,1.63473165
1720124893,3195450,9.219075203
1720125155,3234900,4.93479538
1720125416,3274350,0.483577877
1720125678,3313800,0.486948013
1720125946,3353250,0.270694435
1720126207,3392700,6.280590057
1720126471,3432150,0.138866365
1720126739,3471600,1.622942328
1720127003,3511050,3.73939085
1720127267,3550500,0.200971037
1720127528,3589950,0.497609675
1720127801,3629400,8.971590996
1720128063,3668850,1.710732102
1720128328,3708300,0.278108925
1720128594,3747750,0.020777002
1720128856,3787200,0.016553875
1720129130,3826650,0.015425208
1720129405,3866100,0.015190068
1720129679,3905550,0.015039575
1720129954,3945000,0.014851464
