Wall time,Step,Value
1719936214,39450,54.7520752
1719936407,78900,20.09858211
1719936611,118350,5.543671131
1719936805,157800,2.083602289
1719936994,197250,0.707135737
1719937200,236700,0.353481054
1719937389,276150,0.353307426
1719937585,315600,0.200870087
1719937775,355050,0.249302834
1719937969,394500,0.813367516
1719938175,433950,2.190799713
1719938367,473400,0.760078398
1719938565,512850,0.089435481
1719938769,552300,0.079858897
1719938957,591750,0.150141209
1719939157,631200,0.056960197
1719939350,670650,0.02073938
1719939549,710100,0.020623618
1719939751,749550,0.041131474
1719939952,789000,0.019639164
1719940143,828450,0.017786019
1719940353,867900,0.011753278
1719940552,907350,0.017473817
1719940744,946800,0.011565898
1719940938,986250,0.017223876
1719941132,1025700,0.016898531
1719941367,1065150,0.033471718
1719941560,1104600,0.017066211
1719941755,1144050,0.017726913
1719941949,1183500,0.011113411
1719942145,1222950,0.015613319
1719942350,1262400,0.010360679
1719942557,1301850,0.015468717
1719942759,1341300,0.0105057
1719942958,1380750,0.016048383
1719943150,1420200,0.02888097
1719943357,1459650,0.070594527
1719943565,1499100,0.028494557
1719943753,1538550,0.014889145
1719943946,1578000,0.009859304
1719944139,1617450,0.014688767
1719944334,1656900,0.009938976
1719944528,1696350,0.01512816
1719944722,1735800,0.009810982
1719944924,1775250,0.014304787
1719945123,1814700,0.009489213
1719945319,1854150,0.014162851
1719945515,1893600,0.00937045
1719945706,1933050,0.013948498
1719945903,1972500,0.009242574
1719946122,2011950,0.013779225
1719946328,2051400,0.009763565
1719946525,2090850,0.015511471
1719946721,2130300,0.009848599
1719946917,2169750,0.014034325
1719947131,2209200,0.009114423
1719947328,2248650,0.013308944
1719947525,2288100,0.009220401
1719947727,2327550,0.01435226
1719947940,2367000,0.009307814
1719948155,2406450,0.013571182
1719948370,2445900,0.013754152
1719948585,2485350,0.027691275
1719948800,2524800,0.013469844
1719949014,2564250,0.012718257
1719949229,2603700,0.008431187
1719949444,2643150,0.012575304
1719949659,2682600,0.021170542
1719949874,2722050,0.050936323
1719950089,2761500,0.021080675
1719950304,2800950,0.012305701
1719950519,2840400,0.008403945
1719950734,2879850,0.012906134
1719950948,2919300,0.008439267
1719951163,2958750,0.012411666
1719951378,2998200,0.018151128
1719951593,3037650,0.042041719
1719951808,3077100,0.017945454
1719952023,3116550,0.011794642
1719952238,3156000,0.009801234
1719952453,3195450,0.01760906
1719952668,3234900,0.011072657
1719952882,3274350,0.015608912
1719953097,3313800,0.009022445
1719953312,3353250,0.011458423
1719953527,3392700,0.007594261
1719953742,3432150,0.011324359
1719953957,3471600,0.023236686
1719954172,3511050,0.0583857
1719954387,3550500,0.023408744
1719954602,3589950,0.011840531
1719954816,3629400,0.008071005
1719955031,3668850,0.012372484
1719955246,3708300,0.016322911
1719955461,3747750,0.03659625
1719955676,3787200,0.015805868
1719955891,3826650,0.010821353
1719956106,3866100,0.007633206
1719956321,3905550,0.012078267
1719956535,3945000,0.00835556
