Wall time,Step,Value
1719936214,39450,-0.747906685
1719936407,78900,-0.89834
1719936611,118350,-0.064589649
1719936805,157800,-0.03589
1719936994,197250,-0.994726717
1719937200,236700,-0.995766997
1719937389,276150,-0.064691581
1719937585,315600,-1.03854
1719937775,355050,-1.01583
1719937969,394500,-1.002610683
1719938175,433950,-1.99992
1719938367,473400,-0.99683
1719938565,512850,-1.999923944
1719938769,552300,-2
1719938957,591750,-2
1719939157,631200,-2
1719939350,670650,-2
1719939549,710100,-2
1719939751,749550,-2
1719939952,789000,-2
1719940143,828450,-2
1719940353,867900,-2
1719940552,907350,-2
1719940744,946800,-2
1719940938,986250,-2
1719941132,1025700,-2
1719941367,1065150,-2
1719941560,1104600,-2
1719941755,1144050,-2
1719941949,1183500,-2
1719942145,1222950,-2
1719942350,1262400,-2
1719942557,1301850,-2
1719942759,1341300,-2
1719942958,1380750,-2
1719943150,1420200,-2
1719943357,1459650,-2
1719943565,1499100,-2
1719943753,1538550,-2
1719943946,1578000,-2
1719944139,1617450,-2
1719944334,1656900,-2
1719944528,1696350,-2
1719944722,1735800,-2
1719944924,1775250,-2
1719945123,1814700,-2
1719945319,1854150,-2
1719945515,1893600,-2
1719945706,1933050,-2
1719945903,1972500,-2
1719946122,2011950,-2
1719946328,2051400,-2
1719946525,2090850,-2
1719946721,2130300,-2
1719946917,2169750,-2
1719947131,2209200,-2
1719947328,2248650,-2
1719947525,2288100,-2
1719947727,2327550,-2
1719947940,2367000,-2
1719948155,2406450,-2
1719948370,2445900,-2
1719948585,2485350,-2
1719948800,2524800,-2
1719949014,2564250,-2
1719949229,2603700,-2
1719949444,2643150,-2
1719949659,2682600,-2
1719949874,2722050,-2
1719950089,2761500,-2
1719950304,2800950,-2
1719950519,2840400,-2
1719950734,2879850,-2
1719950948,2919300,-2
1719951163,2958750,-2
1719951378,2998200,-2
1719951593,3037650,-2
1719951808,3077100,-2
1719952023,3116550,-2
1719952238,3156000,-2
1719952453,3195450,-2
1719952668,3234900,-2
1719952882,3274350,-2
1719953097,3313800,-2
1719953312,3353250,-2
1719953527,3392700,-2
1719953742,3432150,-2
1719953957,3471600,-2
1719954172,3511050,-2
1719954387,3550500,-2
1719954602,3589950,-2
1719954816,3629400,-2
1719955031,3668850,-2
1719955246,3708300,-2
1719955461,3747750,-2
1719955676,3787200,-2
1719955891,3826650,-2
1719956106,3866100,-2
1719956321,3905550,-2
1719956535,3945000,-2
