Wall time,Step,Value
1720184759,39450,-3.999489546
1720185177,78900,-3.998857737
1720185562,118350,-3.999739647
1720185958,157800,-3.999423027
1720186344,197250,-3.999819279
1720186732,236700,-3.999698877
1720187129,276150,-3.998718739
1720187513,315600,-1.982858777
1720187922,355050,-1.972159505
1720188286,394500,-1.926135778
1720188712,433950,-1.908594966
1720189136,473400,-1.890544295
1720189582,512850,-1.886858463
1720189992,552300,-1.872611761
1720190392,591750,-1.873941422
1720190779,631200,-1.867219448
1720191180,670650,-1.865985751
1720191587,710100,-1.868350029
1720191988,749550,0.153737336
1720192390,789000,0.161717936
1720192814,828450,0.160500318
1720193233,867900,0.166740969
1720193656,907350,0.162307411
1720194079,946800,0.131997913
1720194491,986250,0.105945729
1720194931,1025700,0.098852701
1720195362,1065150,0.090211831
1720195779,1104600,0.063308716
1720196200,1144050,-1.967058897
1720196626,1183500,-1.965703845
1720197047,1222950,-1.97109437
1720197475,1262400,-1.967114449
1720197869,1301850,-1.971843481
1720198266,1341300,-1.950766683
1720198664,1380750,-1.946371555
1720199076,1420200,-1.936822653
1720199482,1459650,-1.933948278
1720199885,1499100,-1.936766982
1720200296,1538550,-1.940297127
1720200717,1578000,-1.935181022
1720201138,1617450,0.166206617
1720201558,1656900,0.235742596
1720201979,1696350,0.141707683
1720202399,1735800,0.208008781
1720202820,1775250,0.136444969
1720203240,1814700,0.002637356
1720203661,1854150,0.038088389
1720204082,1893600,0.026206719
1720204502,1933050,0.141382056
1720204923,1972500,0.004804619
1720205343,2011950,0.071058564
1720205764,2051400,0.029887154
1720206184,2090850,0.041530606
