Wall time,Step,Value
1719937588,39450,-2.999503136
1719937916,78900,-2.998958588
1719938184,118350,-2.999755383
1719938434,157800,-2.999833822
1719938737,197250,-2.999530077
1719939032,236700,-2.999474287
1719939365,276150,-2.999624014
1719939691,315600,-2.999610901
1719939959,355050,-2.999595404
1719940214,394500,-2.998978138
1719940484,433950,-2.998022795
1719940725,473400,-2.998602867
1719940970,512850,-2.99962616
1719941203,552300,-3
1719941467,591750,-3
1719941705,631200,-3
1719941943,670650,-3
1719942189,710100,-2.99942708
1719942459,749550,-2.999071598
1719942743,789000,-2.999042988
1719943002,828450,-2.999043465
1719943241,867900,-2.999058008
1719943489,907350,-2.999002695
1719943735,946800,-2.998886585
1719944012,986250,-2.99848628
1719944268,1025700,-2.997970104
1719944522,1065150,-2.997487068
1719944772,1104600,-2.995367527
1719945030,1144050,-2.99179244
1719945297,1183500,-0.767197967
1719945666,1222950,-0.735148609
1719945899,1262400,-0.717901349
1719946150,1301850,-0.703578293
1719946397,1341300,-0.720896184
1719946633,1380750,-0.712491632
1719946880,1420200,-0.699573219
1719947113,1459650,-0.70068413
1719947346,1499100,-0.695053399
1719947592,1538550,-0.77228713
1719947834,1578000,-2.997840166
1719948073,1617450,-2.997873306
1719948315,1656900,-2.997821808
1719948557,1696350,-2.997809172
1719948806,1735800,-0.7487517
1719949072,1775250,-2.952611446
1719949335,1814700,-2.994721174
1719949597,1854150,-2.994457006
1719949843,1893600,-1.394156456
1719950114,1933050,-0.710794687
1719950360,1972500,-0.734737098
1719950616,2011950,-2.989882231
1719950857,2051400,-2.978231192
1719951087,2090850,-2.971884012
1719951326,2130300,-2.962718725
1719951604,2169750,-2.959335566
1719951872,2209200,-2.957879305
1719952129,2248650,-0.702939034
1719952386,2288100,-0.704348266
1719952644,2327550,-0.704607248
1719952884,2367000,-0.699666202
1719953252,2406450,-0.711573541
1719953483,2445900,-0.703746378
1719953729,2485350,-0.69670099
1719953990,2524800,-0.702888429
1719954223,2564250,-0.703499317
1719954472,2603700,-0.701469958
1719954723,2643150,-0.695873797
1719954973,2682600,-0.699823618
1719955244,2722050,-0.699629247
1719955506,2761500,-0.694871426
1719955890,2800950,-0.708244741
1719956148,2840400,-0.703370512
1719956383,2879850,-0.693324447
1719956646,2919300,-0.698317707
1719956893,2958750,-0.698180556
1719957141,2998200,-0.698180556
1719957389,3037650,-0.692438902
1719957636,3077100,-0.698856877
1719957884,3116550,-0.697785185
1719958131,3156000,-0.69803
1719958379,3195450,-0.69283
1719958627,3234900,-0.691334471
1719958874,3274350,-0.68593
1719959122,3313800,-0.69485
1719959370,3353250,-0.697752446
1719959617,3392700,-0.70343
1719959865,3432150,-0.70484
1719960112,3471600,-0.696680754
1719960360,3511050,-0.696680754
1719960608,3550500,0.834872249
1719960855,3589950,0.904227326
1719961103,3629400,0.964118457
1719961351,3668850,0.99361791
1719961598,3708300,1.024828914
1719961846,3747750,1.054765754
1719962093,3787200,1.07272689
1719962341,3826650,1.091408047
1719962589,3866100,1.054266599
1719962836,3905550,-0.65839
1719963084,3945000,-0.71348
