Wall time,Step,Value
1719829409,39450,-12.04219243
1719830188,78900,-12.06248016
1719830927,118350,-12.03607564
1719831607,157800,-11.85231458
1719832335,197250,-11.94770943
1719832944,236700,-12.0105026
1719833672,276150,-8.988369274
1719834352,315600,-8.762680737
1719835043,355050,-8.870479737
1719835766,394500,-9.218514624
1719836571,433950,-8.987721467
1719837253,473400,-9.026258172
1719837905,512850,-11.41614056
1719838635,552300,-11.23339558
1719839324,591750,-11.2883625
1719840757,631200,-11.10217285
1719841471,670650,-10.9019289
1719842123,710100,-10.91170692
1719842844,749550,-10.6665678
1719843515,789000,-10.24493885
1719844347,828450,-9.333567619
1719844993,867900,-6.023383138
1719845718,907350,-5.904532957
1719846361,946800,-5.977817835
1719848026,986250,-6.040903734
1719848665,1025700,-6.049077461
1719849321,1065150,-6.116526363
1719850043,1104600,-3.063174415
1719850671,1144050,-3.251710334
1719851347,1183500,-6.006910723
1719852024,1222950,-5.839146306
1719852701,1262400,-3.146059203
1719853378,1301850,-2.942977523
1719854054,1341300,-2.922044771
1719854731,1380750,-3.279066642
1719855408,1420200,-2.805404259
1719856085,1459650,-2.823356253
1719856761,1499100,-3.039645963
1719857438,1538550,-2.805896933
1719858115,1578000,-3.063002167
1719858791,1617450,-2.891393328
1719859468,1656900,-2.991970517
1719860145,1696350,-3.049589309
1719860822,1735800,-2.954407019
1719861498,1775250,-3.010949521
1719862175,1814700,-2.757553883
1719862852,1854150,-3.026388048
1719863529,1893600,-3.085273589
1719864205,1933050,-5.821680985
1719864882,1972500,-6.054055193
1719865559,2011950,-5.701172841
1719866235,2051400,-6.069502862
1719866912,2090850,-6.098307392
1719867589,2130300,-5.802190177
1719868266,2169750,-6.132612345
1719868942,2209200,-5.986113038
1719869619,2248650,-5.956614856
1719870296,2288100,-5.897587154
1719870973,2327550,-6.127153661
1719871649,2367000,-6.101749187
1719872326,2406450,-6.308127955
1719873003,2445900,-4.825237751
1719873680,2485350,7.830134583
1719874356,2524800,8.779434967
1719875033,2564250,9.36027832
1719875710,2603700,9.732614899
1719876386,2643150,9.893802643
1719877063,2682600,10.05227509
1719877740,2722050,10.12485046
1719878417,2761500,10.18112183
1719879093,2800950,10.19225845
1719879770,2840400,10.23223953
1719880447,2879850,10.24333496
1719881124,2919300,10.2960289
1719881800,2958750,10.34972305
1719882477,2998200,10.38031006
1719883154,3037650,10.39976349
1719883830,3077100,10.41953735
1719884507,3116550,10.42419052
1719885184,3156000,10.44111023
1719885861,3195450,10.44236832
1719886537,3234900,10.44824829
