Wall time,Step,Value
1719937291,39450,-2.999507189
1719937579,78900,-2.999132872
1719937838,118350,-2.999676466
1719938127,157800,-2.999833822
1719938433,197250,-2.999265909
1719938675,236700,-2.998652935
1719938999,276150,-2.99816227
1719939254,315600,-2.998076439
1719939533,355050,-2.997988939
1719939784,394500,-2.998172998
1719940017,433950,-2.999042034
1719940265,473400,-2.999000072
1719940505,512850,-2.998976946
1719940749,552300,-2.998949289
1719940995,591750,-2.997889042
1719941225,631200,-2.998386621
1719941486,670650,-2.998367071
1719941721,710100,-2.998228788
1719941961,749550,-2.998134136
1719942202,789000,-2.998227596
1719942460,828450,-2.998383999
1719942729,867900,-2.998701572
1719942974,907350,-2.998832941
1719943216,946800,-2.99890542
1719943451,986250,-2.999490976
1719943697,1025700,-2.999999762
1719943959,1065150,-3
1719944205,1104600,-3
1719944438,1144050,-3
1719944669,1183500,-3
1719944907,1222950,-3
1719945152,1262400,-3
1719945396,1301850,-3
1719945630,1341300,-2.999492407
1719945926,1380750,-2.999463558
1719946171,1420200,-2.999448299
1719946399,1459650,-2.999441385
1719946654,1499100,-2.999424219
1719946884,1538550,-2.999413967
1719947107,1578000,-2.999407768
1719947339,1617450,-2.99818778
1719947578,1656900,-2.997822285
1719947830,1696350,-2.997451544
1719948065,1735800,-2.996795416
1719948306,1775250,-2.996076345
1719948539,1814700,-2.995582104
1719948792,1854150,-2.995052338
1719949031,1893600,-2.994593143
1719949279,1933050,-2.994211435
1719949509,1972500,-2.993227243
1719949743,2011950,-2.992895842
1719949994,2051400,-2.992367268
1719950246,2090850,-2.990093231
1719950485,2130300,-2.987890244
1719950719,2169750,-2.986127853
1719950946,2209200,-2.986671209
1719951181,2248650,-2.986875534
1719951421,2288100,-2.980985403
1719951663,2327550,-2.974221706
1719951922,2367000,-2.967259645
1719952186,2406450,-2.960286617
1719952416,2445900,-2.955364704
1719952650,2485350,-0.800543666
1719952898,2524800,-0.79488188
1719953144,2564250,-0.802889109
1719953369,2603700,-0.805758059
1719953611,2643150,-0.807988226
1719953872,2682600,-2.837430716
1719954108,2722050,-0.802410066
1719954347,2761500,-0.817807019
1719954755,2800950,-0.804586053
1719954998,2840400,-0.792785168
1719955248,2879850,-0.791653633
1719955488,2919300,-0.791003704
1719955748,2958750,-0.783551991
1719955989,2998200,-0.772491515
1719956246,3037650,-0.766654015
1719956517,3077100,-0.763379693
1719956758,3116550,-0.75646174
1719956998,3156000,-0.75646174
1719957239,3195450,-0.743134894
1719957480,3234900,-0.742364493
1719957720,3274350,-0.743632047
1719957961,3313800,-0.73340294
1719958202,3353250,-0.720549722
1719958443,3392700,-0.719779321
1719958683,3432150,-0.721046875
1719958924,3471600,-0.710817768
1719959165,3511050,-2.81932
1719959406,3550500,-2.82854
1719959646,3589950,-2.82184
1719959887,3629400,-2.84823
1719960128,3668850,-0.79349
1719960368,3708300,-0.78834
1719960609,3747750,-0.75828
1719960850,3787200,-0.83475
1719961091,3826650,-0.79283
1719961331,3866100,-0.88842
1719961572,3905550,-0.85823
1719961813,3945000,-0.76838
