Wall time,Step,Value
1719936844,39450,-1.999528289
1719937064,78900,-1.999145508
1719937285,118350,-1.999719858
1719937507,157800,-2
1719937726,197250,-2
1719937948,236700,-1.986243606
1719938163,276150,-1.915449023
1719938375,315600,0.297194302
1719938581,355050,0.279628038
1719938780,394500,0.290853024
1719938993,433950,-1.89652431
1719939190,473400,-1.949847698
1719939398,512850,0.290228933
1719939615,552300,0.301013768
1719939816,591750,0.294537485
1719940016,631200,0.299303234
1719940224,670650,0.275711507
1719940413,710100,0.300344169
1719940617,749550,0.296341836
1719940824,789000,-1.706449866
1719941045,828450,-1.948172808
1719941266,867900,-1.896348715
1719941493,907350,0.295497507
1719941697,946800,0.307570636
1719941898,986250,0.307859808
1719942105,1025700,0.302155107
1719942331,1065150,0.301700741
1719942541,1104600,0.307257116
1719942743,1144050,0.300317228
1719942956,1183500,0.304299533
1719943286,1222950,0.284074903
1719943496,1262400,0.301057339
1719943697,1301850,0.296044052
1719943916,1341300,0.302105367
1719944128,1380750,0.297414899
1719944334,1420200,-1.744418979
1719944541,1459650,0.291897237
1719944750,1499100,0.299633175
1719944994,1538550,0.293161422
1719945239,1578000,0.304172605
1719945623,1617450,0.285736442
1719945869,1656900,0.302568108
1719946082,1696350,0.29750064
1719946310,1735800,0.306517988
1719946531,1775250,0.303223103
1719946730,1814700,0.294721484
1719946948,1854150,-1.860236764
1719947163,1893600,-1.945648313
1719947388,1933050,-1.962909102
1719947580,1972500,-1.96839869
1719947896,2011950,-1.970863342
1719948093,2051400,-1.994525333
1719948327,2090850,-1.988000888
1719948536,2130300,0.022809196
1719948746,2169750,0.070504838
1719948988,2209200,0.138963866
1719949208,2248650,0.180489075
1719949410,2288100,0.238761201
1719949624,2327550,0.207659852
1719949862,2367000,0.186317644
1719950195,2406450,0.160290496
1719950407,2445900,0.170411548
1719950609,2485350,0.225377459
1719950823,2524800,0.288791178
1719951048,2564250,0.306602186
1719951262,2603700,0.294786786
1719951467,2643150,0.287908324
1719951669,2682600,0.254918563
1719951893,2722050,0.223677519
1719952102,2761500,0.214482439
1719952381,2800950,0.224148586
1719952606,2840400,0.234649639
1719952848,2879850,0.282160494
1719953072,2919300,0.321712746
1719953279,2958750,0.290638774
1719953481,2998200,0.293672949
1719953688,3037650,0.282189727
1719953901,3077100,0.281276883
1719954103,3116550,0.305893426
1719954310,3156000,0.300419378
1719954542,3195450,0.27964225
1719954744,3234900,0.308798676
1719954963,3274350,0.291337515
1719955192,3313800,0.299917158
1719955413,3353250,0.290213912
1719955617,3392700,0.253501789
1719955829,3432150,0.222309701
1719956048,3471600,0.153797136
1719956247,3511050,0.125326489
1719956459,3550500,0.185626928
1719956682,3589950,0.207801704
1719956901,3629400,0.225799458
1719957120,3668850,0.187802083
1719957339,3708300,0.177452782
1719957558,3747750,0.166026332
1719957777,3787200,0.145783926
1719957996,3826650,0.071936872
1719958215,3866100,-0.134399681
1719958434,3905550,-0.149000954
1719958653,3945000,-0.167433066
