Wall time,Step,Value
1720033418,39450,-1.999482036
1720033630,78900,-1.998792887
1720033841,118350,-1.999741554
1720034038,157800,-1.999743938
1720034275,197250,-1.999744415
1720034501,236700,-1.999744773
1720034706,276150,-1.999113917
1720034942,315600,-1.997508049
1720035155,355050,-1.98754251
1720035388,394500,0.222149879
1720035726,433950,0.256422222
1720035937,473400,0.292617679
1720036175,512850,0.370161206
1720036425,552300,0.179386586
1720036657,591750,-1.996616483
1720036885,631200,-1.996074557
1720037127,670650,-1.998138547
1720037351,710100,-1.99869442
1720037572,749550,-1.997965932
1720037781,789000,-1.997947216
1720038010,828450,-1.997935057
1720038237,867900,-1.997848272
1720038456,907350,-1.996871948
1720038683,946800,-1.988478184
1720038912,986250,0.237850025
1720039138,1025700,0.278610736
1720039355,1065150,0.225561753
1720039580,1104600,0.322033018
1720039796,1144050,0.394638866
1720040027,1183500,0.428571075
1720040376,1222950,0.540432811
1720040607,1262400,0.662749469
1720040823,1301850,0.698471129
1720041021,1341300,0.650475562
1720041233,1380750,0.684536636
1720041465,1420200,0.582948506
1720041678,1459650,0.486123532
1720041924,1499100,0.547341108
1720042162,1538550,0.60525471
1720042383,1578000,0.569150031
1720042790,1617450,0.695674062
1720043023,1656900,0.703133523
1720043253,1696350,0.606424272
1720043462,1735800,0.57070303
1720043690,1775250,0.586072385
1720043898,1814700,0.577654004
1720044131,1854150,0.440173119
1720044350,1893600,0.39399007
1720044585,1933050,0.376529008
1720044809,1972500,0.301329255
1720045153,2011950,0.344287902
1720045354,2051400,0.381036431
1720045561,2090850,0.176869348
1720045789,2130300,-1.99670732
1720046000,2169750,-1.997883558
1720046207,2209200,-1.998025775
1720046413,2248650,-1.997964263
1720046629,2288100,-1.997941613
1720046850,2327550,-1.997902751
1720047061,2367000,-1.997753739
1720047269,2406450,-1.996025205
1720047478,2445900,-1.992931843
1720047703,2485350,-1.987803936
1720047922,2524800,-1.980136752
1720048138,2564250,-1.971485615
1720048362,2603700,-1.734772205
1720048574,2643150,0.199006766
1720048786,2682600,-1.971485615
1720048998,2722050,0.199006766
1720049210,2761500,0.206714264
1720049422,2800950,0.214421763
1720049634,2840400,0.229836759
1720049846,2879850,0.237544257
1720050058,2919300,0.278610736
1720050270,2958750,0.225561753
1720050482,2998200,0.322033018
1720050694,3037650,0.394638866
1720050906,3077100,0.428571075
1720051118,3116550,0.540432811
1720051330,3156000,0.462749469
1720051542,3195450,0.348322
1720051754,3234900,0.314619239
1720051966,3274350,0.399204243
1720052178,3313800,0.391496745
1720052390,3353250,0.343789247
1720052602,3392700,0.376081748
1720052814,3432150,0.455923
1720053026,3471600,0.304832
1720053238,3511050,0.322959254
1720053449,3550500,0.360666752
1720053661,3589950,0.36837425
1720053873,3629400,0.486123532
1720054085,3668850,0.547341108
1720054297,3708300,0.60525471
1720054509,3747750,0.569150031
1720054721,3787200,0.406911741
1720054933,3826650,0.32839
1720055145,3866100,0.322326738
1720055357,3905550,0.370161206
1720055569,3945000,0.330034236
