Wall time,Step,Value
1720079814,39450,-1.999482036
1720080017,78900,-1.998792887
1720080267,118350,-1.999741554
1720080511,157800,-1.999743938
1720080733,197250,-1.999744415
1720080961,236700,-1.999744773
1720081176,276150,-1.999113917
1720081403,315600,-1.997508049
1720081618,355050,-1.98754251
1720081827,394500,0.222149879
1720082193,433950,0.256422222
1720082422,473400,0.292617679
1720082638,512850,0.370161206
1720082900,552300,0.179386586
1720083136,591750,-1.996616483
1720083360,631200,-1.996074557
1720083571,670650,-1.998138547
1720083795,710100,-1.99869442
1720084031,749550,-1.997965932
1720084242,789000,-1.997947216
1720084474,828450,-1.997935057
1720084693,867900,-1.997848272
1720084946,907350,-1.996871948
1720085177,946800,-1.988478184
1720085392,986250,0.237850025
1720085627,1025700,0.278610736
1720085848,1065150,0.225561753
1720086057,1104600,0.322033018
1720086271,1144050,0.394638866
1720086514,1183500,0.428571075
1720086894,1222950,0.540432811
1720087126,1262400,0.662749469
1720087386,1301850,0.698471129
1720087604,1341300,0.650475562
1720087808,1380750,0.684536636
1720088030,1420200,0.582948506
1720088230,1459650,0.486123532
1720088449,1499100,0.547341108
1720088691,1538550,0.60525471
1720088923,1578000,0.569150031
1720089277,1617450,0.695674062
1720089498,1656900,0.703133523
1720089714,1696350,0.606424272
1720089940,1735800,0.57070303
1720090159,1775250,0.586072385
1720090367,1814700,0.577654004
1720090593,1854150,0.440173119
1720090832,1893600,0.39399007
1720091076,1933050,0.376529008
1720091301,1972500,0.301329255
1720091642,2011950,0.344287902
1720091870,2051400,0.381036431
1720092089,2090850,0.176869348
1720092298,2130300,-1.99670732
1720092533,2169750,-1.997883558
1720092745,2209200,-1.998025775
1720092973,2248650,-1.997964263
1720093195,2288100,-1.997941613
1720093410,2327550,-1.997902751
1720093652,2367000,-1.997753739
1720093866,2406450,-1.996025205
1720094103,2445900,-1.992931843
1720094356,2485350,-1.987803936
1720094571,2524800,-1.980136752
1720094794,2564250,-1.971485615
1720095025,2603700,-1.734772205
1720095251,2643150,0.199006766
1720095481,2682600,-0.45748803
1720095694,2722050,0.202276453
1720095899,2761500,-0.214489654
1720096191,2800950,-1.709758043
1720096407,2840400,-1.96619916
1720096654,2879850,-1.981169462
1720096880,2919300,-1.986386538
1720097115,2958750,-1.989845037
1720097361,2998200,-1.991979241
1720097580,3037650,-1.99342525
1720097789,3077100,-1.98753345
1720098014,3116550,-1.967802882
1720098253,3156000,-1.589670658
1720098604,3195450,0.164586425
1720098810,3234900,0.169892907
1720099037,3274350,0.208540767
1720099278,3313800,0.210555807
1720099502,3353250,0.177800789
1720099737,3392700,0.197548822
1720099944,3432150,0.219713181
1720100159,3471600,0.170099288
1720100371,3511050,0.224771678
1720100609,3550500,0.225426689
1720100973,3589950,0.18792218
1720101205,3629400,0.185834974
1720101430,3668850,0.217986271
1720101652,3708300,0.213185579
1720101874,3747750,0.243834
1720102096,3787200,0.2618743
1720102318,3826650,0.224438
1720102540,3866100,0.133283
1720102762,3905550,0.265483
1720102984,3945000,0.318237
