Wall time,Step,Value
1720094003,39450,-1.999588132
1720094211,78900,-1.999236107
1720094446,118350,-1.999794245
1720094652,157800,-1.999796629
1720094863,197250,-1.999796629
1720095071,236700,-1.999209285
1720095288,276150,-1.998830914
1720095492,315600,-1.999315619
1720095699,355050,-1.999090314
1720095933,394500,-1.998748183
1720096275,433950,-1.997939587
1720096515,473400,-1.997014642
1720096741,512850,-1.998361588
1720096947,552300,-1.998772383
1720097154,591750,-1.998498559
1720097372,631200,-1.998383522
1720097608,670650,-1.998308539
1720097817,710100,-1.998640656
1720098042,749550,-1.998815775
1720098259,789000,-1.998988152
1720098600,828450,-1.999385238
1720098821,867900,-1.999496698
1720099033,907350,-1.999999881
1720101478,946800,-2
1720103924,986250,-1.999491215
1720106370,1025700,-1.999362111
1720108816,1065150,-1.999269605
1720111262,1104600,-1.999209881
1720113708,1144050,-1.999168873
1720116154,1183500,-1.999139905
1720118600,1222950,-1.999293447
1720121046,1262400,-1.999364018
1720123492,1301850,-1.999347806
1720125938,1341300,-1.999340534
1720128384,1380750,-1.999336362
1720130830,1420200,-1.998661041
1720133276,1459650,-1.998529792
1720135722,1499100,-1.998487949
1720138168,1538550,-1.998366833
1720140614,1578000,-1.998310924
1720143060,1617450,-1.998397708
1720145506,1656900,-2
1720147952,1696350,-1.998398066
1720150398,1735800,-1.998018384
1720152844,1775250,-1.997474313
1720155290,1814700,-1.995566845
1720157736,1854150,-1.819484591
1720160182,1893600,-1.988798141
1720162627,1933050,-1.99357605
1720165073,1972500,-1.994230032
1720167519,2011950,-1.990600348
1720169965,2051400,-1.969173908
1720172411,2090850,0.19791092
1720174857,2130300,0.251415879
1720177303,2169750,0.281569928
1720179749,2209200,0.243849009
1720182195,2248650,0.210057244
1720184641,2288100,-1.981475949
1720187087,2327550,-1.993645072
1720189533,2367000,-1.99552083
1720191979,2406450,-1.997233629
1720194425,2445900,-1.997882247
1720196871,2485350,-1.998180985
1720199317,2524800,-1.998336792
1720201763,2564250,-1.999409795
1720204209,2603700,-1.999999881
1720206655,2643150,-1.998999834
1720209101,2682600,-1.998791099
1720211547,2722050,-1.998920679
1720213993,2761500,-1.999393821
1720216439,2800950,0.050294265
1720218885,2840400,0.049732961
1720221331,2879850,0.049424745
1720223776,2919300,0.049424686
1720226222,2958750,0.049424816
1720228668,2998200,0.049424712
1720231114,3037650,-1.982171535
1720233560,3077100,-1.981475949
1720236006,3116550,-1.994230032
1720238452,3156000,-1.99552083
1720240898,3195450,-1.998397708
1720243344,3234900,0.044003811
1720245790,3274350,2.111172915
1720248236,3313800,2.120576143
1720250682,3353250,2.121052504
1720253128,3392700,0.139819309
1720255574,3432150,0.168695658
1720258020,3471600,0.228346735
1720260466,3511050,0.264487982
1720262912,3550500,0.266138762
1720265358,3589950,0.292560875
1720267804,3629400,0.301520854
1720270250,3668850,0.282777905
1720272696,3708300,0.233327642
1720275142,3747750,2.153856754
1720277588,3787200,1.905896902
1720280034,3826650,0.046456236
1720282480,3866100,0.041643109
1720284925,3905550,0.047233
1720287371,3945000,0.28543
